431.05087|ISTEP 10.10 - proc_pcie_scominit
431.07919|ISTEPS_TRACE|Valid configuration found for PEC0, pecPhbActiveMask = 0x80
431.07922|ISTEPS_TRACE|Valid configuration found for PEC1, pecPhbActiveMask = 0x60
431.07924|ISTEPS_TRACE|Valid configuration found for PEC2, pecPhbActiveMask = 0x1c
431.07941|ISTEPS_TRACE|PROC 00050000 PEC0 -> ATTR_PROC_PCIE_IOVALID_ENABLE: 0x01
431.07943|ISTEPS_TRACE|PROC 00050000 PEC1 -> ATTR_PROC_PCIE_IOVALID_ENABLE: 0x03
431.07946|ISTEPS_TRACE|PROC 00050000 PEC2 -> ATTR_PROC_PCIE_IOVALID_ENABLE: 0x07
431.07948|ISTEPS_TRACE|Running p9_pcie_scominit HWP on target HUID 00050000
431.08287|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D000019 0000000000000000
431.08292|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D000019 0008000000000000
431.08297|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D000019 0800000000000000
431.08452|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D000010 0000000080000000
431.08456|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D000029 0000000400000000
431.08461|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D000019 0000000400000000
431.08465|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D000029 0000000400000000
431.08471|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800005010D010C3F 0000000000000034
431.08475|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800005410D010C3F 0000000000000034
431.08629|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D010C06 0000000000000000
431.08633|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D010C07 E000000000000000
431.08638|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D010C03 1FFFFFFFF8000000
431.08794|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004800D010C3F 000000000000A006
431.08799|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004B30D010C3F 0000000000000056
431.08803|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004B30D010C3F 0000000000000056
431.08808|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000008D0D010C3F 0000000000000064
431.08813|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000008D0D010C3F 0000000000000064
431.08818|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000A60D010C3F 0000000000008000
431.08823|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000A60D010C3F 0000000000008000
431.08828|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000CD0D010C3F 0000000000000064
431.08832|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000CD0D010C3F 0000000000000064
431.08837|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000E60D010C3F 0000000000008000
431.08842|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000E60D010C3F 0000000000008000
431.08847|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000018D0D010C3F 0000000000000064
431.08852|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000018D0D010C3F 0000000000000064
431.08857|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001A60D010C3F 0000000000008000
431.08862|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001A60D010C3F 0000000000008000
431.08866|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001CD0D010C3F 0000000000000064
431.08871|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001CD0D010C3F 0000000000000064
431.08876|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001E60D010C3F 0000000000008000
431.08881|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001E60D010C3F 0000000000008000
431.08886|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000028D0D010C3F 0000000000000064
431.08890|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000028D0D010C3F 0000000000000064
431.08896|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002A60D010C3F 0000000000008000
431.08900|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002A60D010C3F 0000000000008000
431.08905|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002CD0D010C3F 0000000000000064
431.08911|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002CD0D010C3F 0000000000000064
431.08915|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002E60D010C3F 0000000000008000
431.08920|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002E60D010C3F 0000000000008000
431.08925|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000038D0D010C3F 0000000000000064
431.08930|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000038D0D010C3F 0000000000000064
431.08934|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003A60D010C3F 0000000000008000
431.08939|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003A60D010C3F 0000000000008000
431.08944|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003CD0D010C3F 0000000000000064
431.08949|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003CD0D010C3F 0000000000000064
431.08954|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003E60D010C3F 0000000000008000
431.08959|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800003E60D010C3F 0000000000008000
431.08964|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000088D0D010C3F 0000000000000064
431.08968|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000088D0D010C3F 0000000000000064
431.08973|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008A60D010C3F 0000000000008000
431.08978|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008A60D010C3F 0000000000008000
431.08983|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008CD0D010C3F 0000000000000064
431.08988|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008CD0D010C3F 0000000000000064
431.08993|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008E60D010C3F 0000000000008000
431.08997|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800008E60D010C3F 0000000000008000
431.09002|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000098D0D010C3F 0000000000000064
431.09007|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000098D0D010C3F 0000000000000064
431.09011|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009A60D010C3F 0000000000008000
431.09016|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009A60D010C3F 0000000000008000
431.09021|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009CD0D010C3F 0000000000000064
431.09026|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009CD0D010C3F 0000000000000064
431.09030|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009E60D010C3F 0000000000008000
431.09035|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800009E60D010C3F 0000000000008000
431.09040|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000A8D0D010C3F 0000000000000064
431.09045|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000A8D0D010C3F 0000000000000064
431.09050|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000AA60D010C3F 0000000000008000
431.09055|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000AA60D010C3F 0000000000008000
431.09059|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000ACD0D010C3F 0000000000000064
431.09064|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000ACD0D010C3F 0000000000000064
431.09069|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000AE60D010C3F 0000000000008000
431.09074|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000AE60D010C3F 0000000000008000
431.09078|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000B8D0D010C3F 0000000000000064
431.09083|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000B8D0D010C3F 0000000000000064
431.09088|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BA60D010C3F 0000000000008000
431.09092|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BA60D010C3F 0000000000008000
431.09097|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BCD0D010C3F 0000000000000064
431.09102|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BCD0D010C3F 0000000000000064
431.09107|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BE60D010C3F 0000000000008000
431.09113|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 80000BE60D010C3F 0000000000008000
431.09117|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004A70D010C3F 000000000000008B
431.09122|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004A70D010C3F 000000000000008B
431.09127|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004800D010C3F 000000000000A805
431.09132|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004B30D010C3F 0000000000000047
431.09136|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800004B30D010C3F 0000000000000047
431.09141|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000008D0D010C3F 0000000000000064
431.09146|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000008D0D010C3F 0000000000000064
431.09151|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000A60D010C3F 0000000000008000
431.09155|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000A60D010C3F 0000000000008000
431.09160|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000CD0D010C3F 0000000000000064
431.09165|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000CD0D010C3F 0000000000000064
431.09169|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000E60D010C3F 0000000000008000
431.09174|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800000E60D010C3F 0000000000008000
431.09179|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000018D0D010C3F 0000000000000064
431.09184|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000018D0D010C3F 0000000000000064
431.09188|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001A60D010C3F 0000000000008000
431.09193|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001A60D010C3F 0000000000008000
431.09198|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001CD0D010C3F 0000000000000064
431.09203|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001CD0D010C3F 0000000000000064
431.09207|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001E60D010C3F 0000000000008000
431.09212|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800001E60D010C3F 0000000000008000
431.09217|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000028D0D010C3F 0000000000000064
431.09222|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 8000028D0D010C3F 0000000000000064
431.09226|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002A60D010C3F 0000000000008000
431.09231|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 800002A60D010C3F 0000000000008000
