433.39779|ISTEP 10.13 - host_rng_bist
433.41140|ISTEPS_TRACE|call_host_rng_bist entry
433.41245|ISTEPS_TRACE|Running p9_rng_init_phase1 HWP on processor target 00050000
433.42275|FAPI|p9_rng_init_phase1.C: Start
433.42430|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E0 0000000000002000
433.42433|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E1 0000000000000000
433.42436|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E2 0000000000000000
433.42439|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E8 0000000000000000
433.42442|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E5 0000000000000000
433.42444|FAPI|p9_rng_init_phase1.C: Configuring Self Test Registers (non P9N DD1)
433.42447|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E1 4110320320320320
433.42450|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E2 0400C8033E000000
433.42454|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E8 F6D60988A0000000
433.42457|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E5 03D0000000000000
433.42460|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E0 0000000000002000
433.42463|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110E0 000000006CF01F41
433.42464|FAPI|p9_rng_init_phase1.C: End
433.42465|ISTEPS_TRACE|call_host_rng_bist exit
433.46250|ERRL|I>Got an error log Msg - Type: 0x00000039
433.46252|ERRL|I>Flush message received
433.46254|INITSVC|<<doIstep: step 10, substep 13
433.46256|INITSVC|>>doIstep: step 10, substep 14, task host_update_redundant_tpm
