404.50488|ISTEP 10. 1 - proc_build_smp
404.51132|INITSVC|unloading [libistep09.so]
404.51151|INITSVC|unloading [libpm.so]
404.52358|INITSVC|unloading [libnestmemutils.so]
404.52369|INITSVC|unloading [libfab_iovalid.so]
404.52380|INITSVC|unloading [libimageprocs.so]
404.52390|INITSVC|loading [libistep10.so]
404.54556|INITSVC|loading [libisteps_nest.so]
404.54571|INITSVC|loading [libisteps_mss.so]
405.35146|INITSVC|loading [libsbe.so]
405.35179|INITSVC|loading [libnestmemutils.so]
405.35191|INITSVC|loading [libimageprocs.so]
405.35344|ISTEPS_TRACE|call_proc_build_smp entry
405.36665|FAPI|p9_fbc_smp_utils.C: (PROC): Start
405.36963|FAPI|p9_build_smp.C: Target: pu:k0:n0:s0:p00
405.36968|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C0C C000000000002200
405.36969|FAPI|p9_build_smp.C: End
405.36970|FAPI|p9_build_smp.C: Inserting g0 p0
405.37120|FAPI|p9_build_smp.C: Adding g0
405.37121|FAPI|p9_build_smp.C: Adding g0:p0
405.37122|FAPI|p9_build_smp.C: Processing X links for g0:p0
405.37124|FAPI|p9_build_smp.C: Processing A links for g0:p0
405.37871|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000CB205012011 00000000000000C3
405.37874|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000CB305012011 0000000000000143
405.37877|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000CDB05011C11 0000000000001028
405.37880|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000CF405011C11 0000000000007100
405.37884|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000D3F05011C11 0000000000060020
405.37887|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000D7805011C11 000000000069E000
405.37890|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000DAA05011C11 0000000002100018
405.38043|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000DCC05011C11 0000000008105DC8
405.38046|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000E0605011C11 0000000000129D50
405.38049|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000E4305011C11 0000000019A0F641
405.38052|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000EA205011C11 0000010010012492
405.38055|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000EC705011C11 000000C000080000
405.38058|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000EE105011C11 000000414121B30D
405.38062|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000F0505011C11 000000129D00129D
405.38065|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000F2005011C11 0000070140501005
405.38068|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000F4005011811 000008C8FE6C0000
405.38071|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 90000F4005012011 000008C8FE6C0000
