405.71904|ISTEP 10. 2 - host_slave_sbe_update
405.74693|I2C|>>i2cResetActiveMasters(): i2cProcessType=0x7, i_functional=1, i_engineSelect=0xF0
405.74696|I2C|>>i2cProcessActiveMasters(): Type=0x7 Operation=1 Bus Speed=0 Functional=1 engineSelect=0xF0
405.74764|I2C|I>i2cProcessActiveMasters: I2C Master Procs: 1
405.74766|I2C|I>i2cProcessActiveMasters: Reset/Setup tgt=0x50000 engine=1
405.74769|SECURE|I> getSecuritySwitch() err_rc:0x0000 huid:0x00050000 reg:0x0000000000000000
405.74771|I2C|I>i2cProcessActiveMasters: reset engine: 1, reset_level=1
405.74923|I2C|I>i2cForceResetAndUnlock() - Performing op on engine=1, port=0
405.74929|I2C|I>i2cForceResetAndUnlock() - Performing op on engine=1, port=1
405.74936|I2C|I>i2cForceResetAndUnlock() - Performing op on engine=1, port=2
405.74941|I2C|I>i2cForceResetAndUnlock() - Performing op on engine=1, port=3
405.74957|I2C|I>i2cProcessActiveMasters: Reset/Setup tgt=0x50000 engine=2
405.74958|I2C|I>i2cProcessActiveMasters: reset engine: 2, reset_level=1
405.74966|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/0 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.74967|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.74974|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/1 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.74975|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.74982|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/2 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.74984|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.74990|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/3 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.74992|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.74998|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/4 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.75000|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.75007|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/5 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.75008|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.75015|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/6 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.75016|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.75023|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/7 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.75025|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.75031|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/8 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.75033|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.75039|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/9 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.75041|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.75048|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/10 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.75049|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.75056|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/11 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.75058|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.75064|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/12 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
405.75066|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
405.75070|I2C|I>i2cProcessActiveMasters: Reset/Setup tgt=0x50000 engine=3
405.75071|I2C|I>i2cProcessActiveMasters: reset engine: 3, reset_level=1
405.75074|I2C|I>i2cForceResetAndUnlock() - Performing op on engine=3, port=0
405.75080|I2C|I>i2cForceResetAndUnlock() - Performing op on engine=3, port=1
405.75091|I2C|<<i2cProcessActiveMasters(): err rc=0x0, plid=0x0
405.75092|I2C|<<i2cResetActiveMasters(): err rc=0x0, plid=0x0
405.79492|SBE|>>updateProcessorSbeSeeproms()
405.80021|SBE|>>getSbeBootSeeprom()
405.80025|SBE|<<getSbeBootSeeprom(): o_bootSide=0x0 (reg=0x0, tgt=0x50000, master)
405.80026|SBE|>>getSbeBootSeeprom()
405.80029|SBE|<<getSbeBootSeeprom(): o_bootSide=0x0 (reg=0x0, tgt=0x50000, master)
405.81392|SBEIO|psudd: Sending Req = 000000000007D703 0000000000000100 00000000F85CD080 0000000000000000 to 00050000
405.83313|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
405.83616|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
405.83769|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
405.83923|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
405.84112|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
405.84837|SBE|getSeepromSideVersionViaI2c(): eccStatus=0, sizeof o_info/sI=80, sI_ECC=90, origin golden=0
406.03375|SBE|I>findSBEInPnor: sha512perEC Found in SBE
406.12347|SBE|getSbeInfoState() - sbePnorPtr=0x81483000, sbePnorImageSize=0x00031C70 (203888)
406.16975|SBE|pullTraceBuildInfo: image build date = 20201019, build time = 1659, build tag = f11ead9c425241931
406.19553|SBE|getSbeInfoState() - hbblPnorPtr=0x10084aea860, hbblMaxSize=0x00005000 (20480)
406.19555|SBE|getSbeInfoState() - Using System HW Key Hash: 0x40D487FF
406.27803|SBE|>>appendHbblToSbe(): i_section=0x10084aea860, i_section_size=0x5000, i_image=0xc00abf20, io_image_size=0x36C70
406.31530|SBE|I>ringOvd():No overrides in RINGOVD section found
406.31578|HWAS_I|I>hwas.C: EQ Gard Bit:0x3f EC Gard Bit:0xa6ffffff on proc with HUID: 0x50000 
406.48338|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0x01,0x01)
406.48676|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x1, ringId=0x1 size=0x10 rc=0x0
406.52900|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0x02,0x01)
406.52915|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x1, ringId=0x2 size=0x10 rc=0x0
406.52920|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0x04,0x01)
406.52935|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x1, ringId=0x4 size=0x10 rc=0x0
406.52941|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0x05,0x01)
406.52959|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x1, ringId=0x5 size=0x10 rc=0x0
406.52964|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0x13,0x01)
406.52987|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x1, ringId=0x13 size=0x0 rc=0x0
406.52993|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0x07,0x01)
406.53008|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x1, ringId=0x7 size=0x10 rc=0x0
406.53013|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0x08,0x01)
406.53028|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x1, ringId=0x8 size=0x10 rc=0x0
406.53034|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0x16,0x02)
406.53048|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x2, ringId=0x16 size=0x14 rc=0x0
406.53858|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0x16,0x0,0x02)
406.53861|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0x17,0x02)
406.53877|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x2, ringId=0x17 size=0x10 rc=0x0
