430.56610|ISTEP 10. 6 - proc_chiplet_scominit
430.57130|ISTEPS_TRACE|>>call_proc_chiplet_scominit entry
430.59487|ISTEPS_TRACE|>>fapiHWPCallWrapper (p9_chiplet_scominit) entry
430.59558|ISTEPS_TRACE|Running p9_chiplet_scominit HWP on target HUID 00050000
430.65547|SCAN|TRACE : GETSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010810 8000000001FE2080
430.65552|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010810 8000000033FDE07D
430.65556|SCAN|TRACE : GETSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010811 0000000000000000
430.65561|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010811 00C0481800000000
430.65566|SCAN|TRACE : GETSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010812 00000000FFFFF3FC
430.65570|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010812 00200000800403FC
430.65574|SCAN|TRACE : GETSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010813 0000000000000000
430.65579|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010813 0000000008000000
430.65583|SCAN|TRACE : GETSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 000000000501081B 0000000000000000
430.65587|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 000000000501081B 97000001A0000000
430.65740|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C00 0006000000000000
430.65785|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013405 00C00C0C00000880
430.65788|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C33 8000000000000000
430.65791|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013405 000300C0C0000220
430.65795|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005011C33 2000000000000000
430.69748|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501380A 01F4030001F40000
430.69751|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501380A 01F40B4001F40840
430.69755|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501380B 01F4030001F40000
430.69758|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501380B 01F40B4001F40840
430.69761|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501380C 01F4030001F40000
430.69764|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501380C 01F40B4001F40840
430.69767|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501380D 01F4030001F40000
430.69771|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501380D 01F40B4001F40840
430.69774|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013810 403C3C80403C3C00
430.69777|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013810 403C3C80403C3C00
430.69780|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013811 403C3C80403C3C00
430.69783|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013811 403C3C80403C3C00
430.69786|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013812 403C3C80403C3C00
430.69790|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013812 403C3C80403C3C00
430.69793|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013813 403C3C80403C3C00
430.69948|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013813 403C3C80403C3C00
430.69951|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013823 F000000000000000
430.69954|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013823 0000000000000000
430.69958|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013824 0000000000000000
430.69961|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013824 0000000000000000
430.70271|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000002011041 8000000000000000
430.70274|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000002011041 8000000000000067
430.70278|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000002011042 0000000000000000
430.70281|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000002011042 00FFC1987F800000
430.70284|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000201105C 0000000000000000
430.70287|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000201105C CE739CE000000000
430.70291|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000002011083 0000000000300000
430.70295|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000002011083 1107006302F00000
430.70298|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000002011086 0000000000000000
430.70301|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000002011086 0000000000000000
430.70304|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000002011087 FFFFFFFFFF800000
430.70307|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000002011087 6C102000C0000000
430.70310|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000002011095 0000000000FCFC00
430.70464|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000002011095 666602A000FCFC00
430.70467|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110A8 0000000000000000
430.70470|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110A8 0888800000000000
430.70473|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110C3 0000000000000000
430.70477|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110C3 0000000080000000
430.70480|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110C4 0000000000000000
430.70483|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110C4 0000000080000000
430.70486|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110C5 0000000000000000
430.70490|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110C5 0000000080000000
430.70493|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110D5 3100000000000000
430.70496|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110D5 7100000000000000
430.70499|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000020110D6 4000000000000000
430.70502|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000020110D6 4220000000000000
430.70505|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000002011103 000000000000C000
430.70508|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000002011103 3082107E40FFC000
430.70512|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000002011106 0000000000000000
430.70515|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000002011106 0000000000000000
430.70518|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000002011107 0000000000000000
430.70521|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000002011107 0F7C60003D000000
430.70560|SCAN|TRACE : GETSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 0000000002010803 FFFFFFFFFFFFF800
430.70716|SCAN|TRACE : PUTSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 0000000002010803 801B1F98D8717000
430.70721|SCAN|TRACE : GETSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 0000000002010806 0000000000000000
430.70725|SCAN|TRACE : PUTSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 0000000002010806 0000000000000000
430.70729|SCAN|TRACE : GETSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 0000000002010807 0000000000000000
430.70733|SCAN|TRACE : PUTSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 0000000002010807 2080000020080000
430.70737|SCAN|TRACE : GETSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 0000000002010818 0000000000000000
430.70741|SCAN|TRACE : PUTSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 0000000002010818 1A00000000000000
430.70745|SCAN|TRACE : GETSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 0000000002010819 0000000000000000
430.70749|SCAN|TRACE : PUTSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 0000000002010819 0000000000000000
430.70753|SCAN|TRACE : GETSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 000000000201081B 0000000000000000
430.70758|SCAN|TRACE : PUTSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 000000000201081B 0000000000072000
430.70762|SCAN|TRACE : GETSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 000000000201081C 0001000000000000
430.70766|SCAN|TRACE : PUTSCOM     :  pu.capp:k0:n0:s0:p00:c0 : 000000000201081C 0001040000000000
430.76218|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501300A 1000002400000000
430.76222|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501300A 5000002400000000
430.76225|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013021 1180700210800640
430.76228|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013021 1180700210834640
430.76386|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013033 FFFFFFFFFFFFFFFF
430.76389|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013033 0000005C040081C3
430.76392|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013036 0000000000000000
430.76396|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013036 0000000000000000
430.76399|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013037 0000000000000000
430.76402|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013037 9554021F80110E0C
430.76405|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013130 1010000000000000
430.76408|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013130 1818000000000000
430.76411|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013140 050043FF00100020
430.76414|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013140 050043EF00100020
430.76418|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013141 FADFBA00FFAFFFD7
430.76421|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013141 FADFBB8CFFAFFFD7
430.76424|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013178 0002000410000000
430.76427|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013178 0002000610000000
430.76431|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501320E 1F1F1F1F1F1F0000
430.76436|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501320E 6262220242160000
430.76439|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013214 00001BBF00020C3C
430.76442|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013214 00005BBF00020C3C
430.76445|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501322B 0000000000000014
430.76449|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501322B 0000000000000018
430.88021|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000003011803 FFFFFFFFFFFFFC00
430.88024|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000003011803 00210102540D7C00
430.88028|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000003011806 F800FDFC0001F000
430.88031|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000003011806 0000000000000000
430.88034|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000003011807 F8FFFEFFFFFC8000
430.88037|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000003011807 00DF020180000000
430.88041|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000301184D 0000000000000000
430.88044|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000301184D 0000000000000000
430.88047|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000301184E 0000000000000000
430.88050|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000301184E 66020FCFC0000000
430.88054|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005012C1D 0001000100000000
430.88058|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005012C1D 000101A100000000
430.88061|ISTEPS_TRACE|SUCCESS: p9_chiplet_scominit HWP returned success with target HUID 0x00050000
430.88063|ISTEPS_TRACE|<<fapiHWPCallWrapper (p9_chiplet_scominit) exit
430.88065|ISTEPS_TRACE|>>fapiHWPCallWrapper (p9_io_obus_firmask_save_restore) entry
430.88137|ISTEPS_TRACE|Running p9_io_obus_firmask_save_restore HWP on target HUID 00050000
430.92500|FAPI_I|p9_io_obus_firmask_save_restore.C: p9_io_obus_firmask_save: Entering...
430.92504|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005013803 0000000000000003
430.92507|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005013803 0000000FF0000FF3
430.92510|FAPI_I|p9_io_obus_firmask_save_restore.C: p9_io_obus_firmask_restore: Exiting...
430.92514|ISTEPS_TRACE|SUCCESS: p9_io_obus_firmask_save_restore HWP returned success with target HUID 0x00050000
430.92517|ISTEPS_TRACE|<<fapiHWPCallWrapper (p9_io_obus_firmask_save_restore) exit
430.92518|ISTEPS_TRACE|>>fapiHWPCallWrapper (p9_psi_scominit) entry
430.92591|ISTEPS_TRACE|Running p9_psi_scominit HWP on target HUID 00050000
430.92595|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000004011803 0600000000000000
430.92598|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000004011803 FE00000000000000
430.92602|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000004011806 0000000000000000
430.92605|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000004011806 0000000000000000
430.92608|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000004011807 0000000000000000
430.92611|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000004011807 0000000000000000
430.92614|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005012903 0000001800000000
430.92617|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005012903 3F0206F800000000
430.92620|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005012906 0000000000000000
430.92623|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005012906 0000000000000000
430.92626|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005012907 0000000000000000
430.92629|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005012907 C028010000000000
430.92632|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501290F 0000FFF0FFF0F800
430.92635|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501290F 00000000FFF00000
430.92638|ISTEPS_TRACE|SUCCESS: p9_psi_scominit HWP returned success with target HUID 0x00050000
430.92639|ISTEPS_TRACE|<<fapiHWPCallWrapper (p9_psi_scominit) exit
430.97464|UTILTCE|I>utilUseTcesForDmas: FALSE
430.97465|ISTEPS_TRACE|<<call_proc_chiplet_scominit exit
430.98045|ERRL|I>Got an error log Msg - Type: 0x00000039
430.98046|ERRL|I>Flush message received
430.98048|INITSVC|<<doIstep: step 10, substep 6
430.98050|INITSVC|>>doIstep: step 10, substep 7, task proc_abus_scominit
