433.47848|ISTEP 11. 1 - host_prd_hwreconfig
433.48488|INITSVC|unloading [libistep10.so]
433.48511|INITSVC|unloading [libisteps_nest.so]
433.49471|INITSVC|unloading [libisteps_mss.so]
433.75298|INITSVC|unloading [libsbe.so]
433.75316|INITSVC|unloading [libnestmemutils.so]
433.76408|INITSVC|unloading [libimageprocs.so]
433.76432|INITSVC|loading [libistep11.so]
433.78297|INITSVC|loading [libimageprocs.so]
433.80655|ISTEPS_TRACE|>>call_host_prd_hwreconfig
433.80656|ISTEPS_TRACE|<<call_host_prd_hwreconfig
433.80921|SCOM|doMulticastWorkaround on 00050000 for 50040018
433.80973|SCOM|doMulticastWorkaround on 00050000 for 50040009
433.81034|ERRL|I>Got an error log Msg - Type: 0x00000039
433.81035|ERRL|I>Flush message received
433.81037|INITSVC|<<doIstep: step 11, substep 1
433.81039|INITSVC|>>doIstep: step 11, substep 2, task cen_tp_chiplet_init1
