435.23759|ISTEP 12. 2 - dmi_attr_update
435.24382|IPMI|wd: resetWatchDogTimer
435.24384|IPMI|rp: queuing sync 18:22
435.24385|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
435.24390|IPMI|dd: I>write ok 18:22 seq 3b len 0
435.26888|IPMI|dd: I>read b2h ok 1c:22 seq 3b len 0 cc 0
435.26969|ISTEPS_TRACE|call_dmi_attr_update: 0 DMIs found
435.26970|ISTEPS_TRACE|call_dmi_attr_update exit
435.27353|SCOM|doMulticastWorkaround on 00050000 for 50040018
435.27402|SCOM|doMulticastWorkaround on 00050000 for 50040009
435.27461|ERRL|I>Got an error log Msg - Type: 0x00000039
435.27462|ERRL|I>Flush message received
435.27464|INITSVC|<<doIstep: step 12, substep 2
435.27466|INITSVC|>>doIstep: step 12, substep 3, task proc_dmi_scominit
