435.27471|ISTEP 12. 3 - proc_dmi_scominit
435.28149|ISTEPS_TRACE|call_proc_dmi_scominit: 0 DMIs found
435.29439|MMIO|>>mmioSetup
435.29513|MMIO|<<mmioSetup
435.29514|ISTEPS_TRACE|call_proc_dmi_scominit exit
435.29754|SCOM|doMulticastWorkaround on 00050000 for 50040018
435.29804|SCOM|doMulticastWorkaround on 00050000 for 50040009
435.29864|ERRL|I>Got an error log Msg - Type: 0x00000039
435.29865|ERRL|I>Flush message received
435.29867|INITSVC|<<doIstep: step 12, substep 3
435.29869|INITSVC|>>doIstep: step 12, substep 4, task cen_dmi_scominit
