439.60572|ISTEP 13.10 - mss_draminit
439.62074|ISTEPS_TRACE|call_mss_draminit entry
439.62149|ISTEPS_TRACE|Running p9_mss_draminit HWP on target HUID 00250000
439.62154|FAPI|p9_mss_draminit.C: Start draminit: pu.mcbist:k0:n0:s0:p00:c0
439.62163|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A7 00FFFF0000001000
439.62168|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A7 00FFFF8000001000
439.62173|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 0480000000000000
439.62175|FAPI|port.H: Drive mem clocks pclk: 0x2 nclk 0x1
439.62179|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 0480000000000000
439.62184|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 6480000000000000
439.62188|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 6480000000000000
439.62193|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 6C80000000000000
439.62195|FAPI|conversions.H: converting 1000000ps to 1334 cycles
439.62247|FAPI|conversions.H: converting 5 cycles to 3750ps
439.62248|FAPI|conversions.H: converting 10000ps to 14 cycles
439.66288|FAPI|ccs.H: loading ccs instructions (1) for pu.mcbist:k0:n0:s0:p00:c0
439.66296|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
439.66300|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
439.66305|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 0000000000000000
439.66307|FAPI|ccs.H: ccs statq (stop) 0x0, remaining: 50
439.66311|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 000008F0CC000000
439.66315|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0190000000000001
439.66321|FAPI|ccs.H: css inst 0: 0x000008F0CC000000 0x0190000000000001 (0x7012315, 0x7012335) delay: 0x190 (0x190) pu.mcbist:k0:n0:s0:p00:c0
439.66323|FAPI|conversions.H: converting 400 cycles to 300000ps
439.66325|FAPI|ccs.H: executing ccs instructions (1:1, 300) for pu.mcbist:k0:n0:s0:p00:c0
439.66329|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 000008F0CC000000
439.66334|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0000000000000020
439.66339|FAPI|ccs.H: css inst 1 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012316, 0x7012336) pu.mcbist:k0:n0:s0:p00:c0
439.66341|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
439.66345|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 0000000000000000
439.66350|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
439.66354|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
439.66359|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
439.66363|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
439.66365|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
439.66524|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 6C80000000000000
439.66529|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 6880000000000000
439.66692|FAPI|rcd_load_ddr4.C: rcd_load_ddr4 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.66847|FAPI|conversions.H: converting 5000000ps to 6667 cycles
439.67160|FAPI|control_word_ddr4.H: F0RC00 value 0x2 (8 cycles) 0x40007800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67167|FAPI|control_word_ddr4.H: F0RC01 value 0x0 (8 cycles) 0x08007800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67174|FAPI|control_word_ddr4.H: F0RC02 value 0x1 (6667 cycles) 0x84007800cc000000:0x1a0b000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67182|FAPI|control_word_ddr4.H: F0RC03 value 0x0 (16 cycles) 0x0c007800cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67189|FAPI|control_word_ddr4.H: F0RC04 value 0x0 (16 cycles) 0x02007800cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67197|FAPI|control_word_ddr4.H: F0RC05 value 0x0 (16 cycles) 0x0a007800cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67204|FAPI|control_word_ddr4.H: F0RC06 value 0xf (32 cycles) 0xf6007800cc000000:0x0020000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67211|FAPI|control_word_ddr4.H: F0RC08 value 0xb (8 cycles) 0xd1007800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67218|FAPI|control_word_ddr4.H: F0RC0a value 0x4 (6667 cycles) 0x25007800cc000000:0x1a0b000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67376|FAPI|control_word_ddr4.H: F0RC0b value 0xe (16 cycles) 0x7d007800cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67383|FAPI|control_word_ddr4.H: F0RC0c value 0x0 (8 cycles) 0x03007800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67390|FAPI|control_word_ddr4.H: F0RC0d value 0x4 (32 cycles) 0x2b007800cc000000:0x0020000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67397|FAPI|control_word_ddr4.H: F0RC0e value 0xd (8 cycles) 0xb7007800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67404|FAPI|control_word_ddr4.H: F0RC0f value 0x0 (32 cycles) 0x0f007800cc000000:0x0020000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67411|FAPI|control_word_ddr4.H: F0RC01X value 0x0 (8 cycles) 0x00807800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
