440.38906|ISTEP 13.11 - mss_draminit_training
440.39535|IPMI|wd: resetWatchDogTimer
440.39536|IPMI|rp: queuing sync 18:22
440.39537|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
440.39542|IPMI|dd: I>write ok 18:22 seq 89 len 0
440.43412|IPMI|dd: I>read b2h ok 1c:22 seq 89 len 0 cc 0
440.43419|ISTEPS_TRACE|call_mss_draminit_training entry
440.43495|ISTEPS_TRACE|Running p9_mss_draminit_training HWP on target HUID 00250000
440.45337|FAPI|p9_mss_draminit_training.C: pu.mcbist:k0:n0:s0:p00:c0 Start draminit training
440.45347|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A7 00FFFF8000001000
440.45351|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A7 00FFFF8300001000
440.45368|FAPI|zqcal.C: ZQCL 0x00200ef0cc000000:0x0eac000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0
440.45373|FAPI|zqcal.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Skipping LRDIMM data buffer ZQCL, only done on LRDIMMs
440.45376|FAPI|ccs.H: loading ccs instructions (1) for pu.mcbist:k0:n0:s0:p00:c0
440.45387|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.45392|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.45397|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.45398|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.45403|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 00200EF04C000000
440.45407|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0EAC000000000001
440.45412|FAPI|ccs.H: css inst 0: 0x00200EF04C000000 0x0EAC000000000001 (0x7012315, 0x7012335) delay: 0xeac (0xeac) pu.mcbist:k0:n0:s0:p00:c0
440.45414|FAPI|conversions.H: converting 3756 cycles to 2817000ps
440.45417|FAPI|ccs.H: executing ccs instructions (1:1, 2817) for pu.mcbist:k0:n0:s0:p00:c0
440.45421|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 000008F0CC000000
440.45425|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0000000000000020
