444.44971|ISTEP 13.12 - mss_draminit_trainadv
444.46510|IPMI|wd: resetWatchDogTimer
444.46512|IPMI|rp: queuing sync 18:22
444.46513|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
444.46518|IPMI|dd: I>write ok 18:22 seq 92 len 0
444.49789|IPMI|dd: I>read b2h ok 1c:22 seq 92 len 0 cc 0
444.49796|ISTEPS_TRACE|call_mss_draminit_trainingadv entry
444.49874|ISTEPS_TRACE|Running p9_mss_draminit_training_adv HWP on target HUID 00250000
444.49877|FAPI|p9_mss_draminit_training_adv.C: Start draminit training advance pu.mcbist:k0:n0:s0:p00:c0
444.49888|FAPI|mss_training.C: Running factory for cal_steps:0x00000c00 hardware mode
444.49890|FAPI|mss_training.C: Custom RD_CTR and Custom WR_CTR are enabled
444.49897|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 rp0 running CUSTOM_WRRD_CTR
444.49901|FAPI|mss_training.H: pu.mca:k0:n0:s0:p00:c1 RP0 cal step 'CUSTOM_WRRD_CTR' has no pre-cal step workaround.
444.49907|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000500701103F 0000000000004E4C
444.49912|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000510701103F 0000000000004E4C
444.49916|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000520701103F 0000000000004C4A
444.49921|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000530701103F 0000000000005248
444.49926|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000540701103F 000000000000524A
444.49931|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000550701103F 000000000000564C
444.49936|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000560701103F 0000000000005052
444.49941|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000570701103F 0000000000005250
444.49945|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004500701103F 0000000000004A4C
444.49950|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004510701103F 0000000000004C4C
444.49955|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004520701103F 000000000000484A
444.49960|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004530701103F 0000000000004646
444.49965|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004540701103F 0000000000005454
444.49969|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004550701103F 0000000000005452
444.49974|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004560701103F 0000000000005250
444.49979|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004570701103F 0000000000005A4E
444.49984|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008500701103F 000000000000504A
444.49989|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008510701103F 0000000000004E50
444.49994|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008520701103F 0000000000005256
444.49999|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008530701103F 000000000000564E
444.50004|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008540701103F 0000000000004A44
444.50009|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008550701103F 000000000000464C
444.50014|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008560701103F 0000000000004844
444.50019|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008570701103F 0000000000004A48
444.50023|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C500701103F 0000000000004C50
444.50028|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C510701103F 0000000000004244
444.50033|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C520701103F 0000000000004A4E
444.50038|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C530701103F 0000000000004848
444.50043|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C540701103F 000000000000544E
444.50048|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C550701103F 0000000000004E4E
444.50052|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C560701103F 000000000000564E
444.50057|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C570701103F 000000000000584E
444.50062|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010500701103F 0000000000004850
444.50067|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010510701103F 0000000000004A48
444.50072|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010520701103F 0000000000004C4E
444.50142|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010530701103F 0000000000004C4C
444.50147|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000090701103F 000000000000BB77
444.50152|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004090701103F 000000000000FF33
444.50156|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008090701103F 000000000000FFFF
444.50161|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C090701103F 000000000000FF33
444.50166|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010090701103F 0000000000007700
444.50171|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007C0701103F 0000000000000000
444.50176|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007D0701103F 0000000000000000
444.50181|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047C0701103F 0000000000000000
444.50186|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047D0701103F 0000000000000000
444.50191|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087C0701103F 0000000000000000
444.50195|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087D0701103F 0000000000000000
444.50200|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7C0701103F 0000000000000000
444.50205|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7D0701103F 0000000000000000
444.50210|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000107C0701103F 00000000000000FF
444.50215|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000107D0701103F 0000000000000000
444.50220|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000600701103F 0000000000003C3C
444.50225|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000610701103F 0000000000003B3C
444.50229|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000620701103F 0000000000003C3D
444.50234|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000630701103F 0000000000003F3E
444.50239|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000640701103F 0000000000003E3D
444.50244|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000650701103F 0000000000003D3E
444.50249|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000660701103F 0000000000003C3C
444.50254|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000670701103F 0000000000003D3C
444.50259|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000680701103F 0000000000000000
444.50264|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000690701103F 0000000000000000
444.50269|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000006A0701103F 0000000000000000
444.50274|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000006B0701103F 0000000000000000
444.50279|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004600701103F 000000000000393C
444.50284|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004610701103F 0000000000003C3E
444.50288|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004620701103F 0000000000003D3E
444.50293|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004630701103F 0000000000003E3D
444.50298|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004640701103F 0000000000003C3D
444.50302|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004650701103F 0000000000003D3D
444.50307|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004660701103F 0000000000003E3D
444.50312|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004670701103F 0000000000003D3E
444.50317|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004680701103F 0000000000000000
444.50322|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004690701103F 0000000000000000
444.50326|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000046A0701103F 0000000000000000
444.50332|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000046B0701103F 0000000000000000
