450.97062|ISTEP 13.13 - mss_draminit_mc
450.97663|IPMI|wd: resetWatchDogTimer
450.97664|IPMI|rp: queuing sync 18:22
450.97666|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
450.97673|IPMI|dd: I>write ok 18:22 seq 93 len 0
450.99428|IPMI|dd: I>read b2h ok 1c:22 seq 93 len 0 cc 0
450.99434|ISTEPS_TRACE|call_mss_draminit_mc entry
450.99509|ISTEPS_TRACE|Running p9_mss_draminit_mc HWP on target HUID 00250000
451.02180|FAPI|p9_mss_draminit_mc.C: pu.mcbist:k0:n0:s0:p00:c0 Start draminit MC
451.03566|FAPI|xlate.C: Setting up xlate registers for MCA1 (1)
451.04471|FAPI|xlate.C: DIMM with the largest size on this port is dimm:k0:n0:s0:p02 RDIMM (DDR4) 1MR (1 total ranks) 8Gbx8 (8GB)
451.04476|FAPI|xlate.C: address translation for DIMM dimm:k0:n0:s0:p02 RDIMM (DDR4) 1MR (1 total ranks) 8Gbx8 (8GB) in slot 0
451.07313|FAPI|xlate.C: cramming 0x8004000000000007 in for MCP0XLT0
451.07314|FAPI|xlate.C: cramming 0x000000000e0d0c0b in for MCP0XLT1
451.07316|FAPI|xlate.C: cramming 0x0a090f1000111200 in for MCP0XLT2
451.07320|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010820 8004000000000007
451.07325|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010821 000000000E0D0C0B
451.07330|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010822 0A090F1000111200
451.07334|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0A 0A10C23810800000
451.07338|FAPI|gen_mss_port.H: Read ECC Control register is 0x0a10c23810800000 for pu.mca:k0:n0:s0:p00:c1
451.07339|FAPI|port.H: Set READ_POINTER_DLY to 1
451.07341|FAPI|gen_mss_port.H: Set TCE_CORRECTION_ENABLE to 1
451.07344|FAPI|gen_mss_port.H: Change Read ECC Control register to 0x0890c23810800000 for pu.mca:k0:n0:s0:p00:c1
451.07349|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0A 0890C23810800000
451.07352|FAPI|p9_mss_draminit_mc.C: pu.mcbist:k0:n0:s0:p00:c0 Enable Power min max domains
451.10381|FAPI|mca_workarounds.C: pu.mca:k0:n0:s0:p00:c1 greater than or equal to DD2 STR: disabled DIMM isn't TSV not 4R DIMM
451.10386|FAPI|mca_workarounds.C: pu.mca:k0:n0:s0:p00:c1 self-time refresh parity workaround is not needed and is being skipped
451.10391|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010934 012739DF82100000
451.10395|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010934 012739DF82100000
451.10400|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 6880000000000000
451.10404|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 6880000000000000
451.10409|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200124B
451.10413|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200120B
451.10418|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200120B
451.10422|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200130B
451.10426|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010932 03A0E001D3283040
451.10430|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010932 83A0E001D3283040
451.10581|FAPI|port.C: Enable periodic cal
