435.53091|ISTEP 13. 1 - host_disable_memvolt
435.53759|INITSVC|unloading [libistep12.so]
435.53781|INITSVC|unloading [libnestmemutils.so]
435.53795|INITSVC|unloading [libisteps_io.so]
435.53805|INITSVC|unloading [libisteps_mss.so]
435.53892|INITSVC|unloading [libexpupd.so]
435.53902|INITSVC|loading [libistep13.so]
435.89734|INITSVC|loading [libisteps_mss.so]
435.90448|INITSVC|loading [libcen.so]
435.91619|INITSVC|loading [libnestmemutils.so]
435.93354|ISTEPS_TRACE|>>call_host_disable_memvolt
435.93356|HB_VOLT|call_host_disable_vddrno-op because mbox not available
435.93357|ISTEPS_TRACE|<<call_host_disable_memvolt
435.94307|SCOM|doMulticastWorkaround on 00050000 for 50040018
435.94360|SCOM|doMulticastWorkaround on 00050000 for 50040009
435.94419|ERRL|I>Got an error log Msg - Type: 0x00000039
435.94420|ERRL|I>Flush message received
435.94421|INITSVC|<<doIstep: step 13, substep 1
435.94423|INITSVC|>>doIstep: step 13, substep 2, task mem_pll_reset
