435.94426|ISTEP 13. 2 - mem_pll_reset
435.95888|ISTEPS_TRACE|call_mem_pll_reset entry
435.95960|ISTEPS_TRACE|Running p9_mem_pll_reset HWP on target HUID 00050000
435.98958|FAPI|p9_mem_pll_reset.C: Entering ...
436.00276|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0042 4000000000000000
436.00281|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F001E 0374000000000000
436.00285|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F001E 037C000000000000
436.00289|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0042 0400000000000000
436.00293|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0042 0800000000000000
436.00297|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0042 1000000000000000
436.00301|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0046 6000000000000000
436.00305|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0041 BFFFFFFFFFFFFFFF
436.00310|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030000 0000000000000000
436.00314|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030000 0800000000000000
436.00318|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030001 5000000000000020
436.00323|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030006 000200000000E000
436.00328|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030005 0002000000000080
436.00332|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030002 0000000000000000
436.00336|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030002 0000000000000000
436.00340|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030002 2000000000000000
436.00345|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000100 0040000000000000
436.00351|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000100 0040000000000000
436.00357|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000100 00C0000000000000
436.00362|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030006 0000000000000000
436.00366|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030005 0000000000000000
436.00371|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0042 4000000000000000
436.00376|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F001E 0374000000000000
436.00380|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F001E 037C000000000000
436.00384|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0042 0400000000000000
436.00389|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0042 0800000000000000
436.00393|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0042 1000000000000000
436.00398|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0046 6000000000000000
436.00402|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0041 BFFFFFFFFFFFFFFF
436.00407|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030000 0000000000000000
436.00411|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030000 0800000000000000
436.00416|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030001 5000000000000020
436.00421|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030006 000200000000E000
436.00425|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030005 0002000000000080
436.00430|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030002 0000000000000000
436.00434|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030002 0000000000000000
436.00439|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030002 2000000000000000
436.00444|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000000100 0040000000000000
436.00450|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000000100 0040000000000000
436.00458|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000000100 00C0000000000000
436.00462|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030006 0000000000000000
436.00466|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030005 0000000000000000
436.00468|FAPI|p9_mem_pll_reset.C: Exiting ...
436.00470|ISTEPS_TRACE|SUCCESS running p9_mem_pll_reset HWP on target HUID 00050000
436.00471|ISTEPS_TRACE|call_mem_pll_reset exit
436.08168|SCOM|doMulticastWorkaround on 00050000 for 50040018
436.08219|SCOM|doMulticastWorkaround on 00050000 for 50040009
436.08281|ERRL|I>Got an error log Msg - Type: 0x00000039
436.08282|ERRL|I>Flush message received
436.08284|INITSVC|<<doIstep: step 13, substep 2
436.08286|INITSVC|>>doIstep: step 13, substep 3, task mem_pll_initf
