436.15235|ISTEP 13. 4 - mem_pll_setup
436.15899|ISTEPS_TRACE|call_mem_pll_setup entry
436.15969|ISTEPS_TRACE|Running p9_mem_pll_setup HWP on target HUID 00050000
436.18558|FAPI|p9_mem_pll_setup.C: Entering ...
436.18605|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0045 DFFFFFFFFFFFFFFF
436.18609|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0045 BFFFFFFFFFFFFFFF
436.18614|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0041 EFFFFFFFFFFFFFFF
436.18618|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0041 F7FFFFFFFFFFFFFF
436.19123|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0019 F000000000000000
436.19127|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F0041 FBFFFFFFFFFFFFFF
436.19131|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030001 5500000700000020
436.19135|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030001 5500000700003020
436.19139|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F001F FFFFFFFFFFFFFFFF
436.19143|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F001E 037C000000000000
436.19148|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 00000000000F001E 0374000000000000
436.19152|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0045 DFFFFFFFFFFFFFFF
436.19156|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0045 BFFFFFFFFFFFFFFF
436.19160|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0041 EFFFFFFFFFFFFFFF
436.19164|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0041 F7FFFFFFFFFFFFFF
436.19669|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0019 F000000000000000
436.19673|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F0041 FBFFFFFFFFFFFFFF
436.19677|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030001 5000000000000020
436.19681|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 0000000000030001 5000000000003020
436.19686|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F001F FFFFFFFFFFFFFFFF
436.19690|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F001E 037C000000000000
436.19694|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c8 : 00000000000F001E 0374000000000000
436.19695|FAPI|p9_mem_pll_setup.C: Exiting ...
436.19698|ISTEPS_TRACE|SUCCESS running p9_mem_pll_setup HWP on target HUID 00050000
436.19699|ISTEPS_TRACE|call_mem_pll_setup exit
436.23039|SCOM|doMulticastWorkaround on 00050000 for 50040018
436.23088|SCOM|doMulticastWorkaround on 00050000 for 50040009
436.23148|ERRL|I>Got an error log Msg - Type: 0x00000039
436.23149|ERRL|I>Flush message received
436.23151|INITSVC|<<doIstep: step 13, substep 4
436.23153|INITSVC|>>doIstep: step 13, substep 6, task mem_startclocks
