436.23157|ISTEP 13. 6 - mem_startclocks
436.23755|ISTEPS_TRACE|call_mem_startclocks entry
436.23823|ISTEPS_TRACE|Running p9_mem_startclocks HWP on target HUID 00050000
436.25097|FAPI|p9_sbe_common.C: p9_sbe_common_get_pg_vector: Entering ...
436.25141|FAPI|p9_sbe_common.C: p9_sbe_common_get_pg_vector: Exiting ...
436.25185|FAPI|p9_mem_startclocks.C: Call p9_mem_startclocks_cplt_ctrl_action_function for Mc chiplets
436.25190|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000021 1E02000000000000
436.25194|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000020 C000000000000000
436.25196|FAPI|p9_mem_startclocks.C: Call module align chiplets for Mc chiplets
436.25198|FAPI|p9_sbe_common.C: p9_sbe_common_align_chiplets: Entering ...
436.25203|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000010 2000000000000000
436.25207|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000010 1000000000000000
436.25211|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030000 0800000000000000
436.25215|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030000 0900000000000000
436.25220|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030000 0900000000000000
436.25224|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030000 0800000000000000
436.25239|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000100 00C0000000000000
436.25243|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000020 1000000000000000
436.25245|FAPI|p9_sbe_common.C: p9_sbe_common_align_chiplets: Exiting ...
436.26766|FAPI|p9_mem_startclocks.C: Call module clock start stop for MC01, MC23.
436.26920|FAPI|p9_sbe_common.C: p9_sbe_common_clock_start_stop: Entering ...
436.26924|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000010 2000000000000000
436.26929|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030005 0000000000000000
436.26933|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030008 FFFFFFFFFFFFFFFF
436.26938|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030009 FFFFFFFFFFFFFFFF
436.26942|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 000000000003000A FFFFFFFFFFFFFFFF
436.26946|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030006 0000000000000000
436.26950|SCAN|TRACE : PUTSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000030006 4E0000000000E000
436.26955|SCAN|TRACE : GETSCOM     :  pu.perv:k0:n0:s0:p00:c7 : 0000000000000100 00C0000000000000
436.26956|FAPI|p9_sbe_common.C: p9_sbe_common_check_status: Entering ...
