436.48759|ISTEP 13. 8 - mss_scominit
436.50082|ISTEPS_TRACE|call_mss_scominit entry
436.50158|ISTEPS_TRACE|Running p9_mss_scominit HWP on target HUID 00250000
436.51212|FAPI|p9_mss_scominit.C: Start MSS SCOM init
436.58081|FAPI|p9_mss_scominit.C: scominit for pu.mca:k0:n0:s0:p00:c0
436.58083|FAPI|p9_mss_scominit.C: phy scominit for pu.mca:k0:n0:s0:p00:c0
436.59955|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000002A0701103F 0000000000006740
436.59961|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000002A0701103F 0000000000006740
436.59966|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000002B0701103F 0000000000006740
436.59971|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000002B0701103F 0000000000006740
436.59976|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800000740701103F 0000000000000000
436.59981|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800000740701103F 0000000000006000
436.59986|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800000750701103F 0000000000000000
436.59991|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800000750701103F 0000000000004000
436.59996|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800000770701103F 0000000000000000
436.60001|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800000770701103F 0000000000000006
436.60006|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800000780701103F 0000000000000000
436.60011|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800000780701103F 0000000000007F7F
436.60550|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000042A0701103F 0000000000006740
436.60555|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000042A0701103F 0000000000006740
436.60560|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000042B0701103F 0000000000006740
436.60565|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000042B0701103F 0000000000006740
436.60570|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800004740701103F 0000000000000000
436.60575|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800004740701103F 0000000000006000
436.60580|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800004750701103F 0000000000000000
436.60737|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800004750701103F 0000000000004000
436.60742|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800004770701103F 0000000000000000
436.60747|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800004770701103F 0000000000000006
436.60752|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800004780701103F 0000000000000000
436.60757|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800004780701103F 0000000000007F7F
436.60913|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000082A0701103F 0000000000006740
436.60918|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000082A0701103F 0000000000006740
436.60923|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000082B0701103F 0000000000006740
436.60928|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000082B0701103F 0000000000006740
436.60933|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800008740701103F 0000000000000000
436.60938|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800008740701103F 0000000000006000
436.60943|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800008750701103F 0000000000000000
436.60948|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800008750701103F 0000000000004000
436.61105|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800008770701103F 0000000000000000
436.61110|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800008770701103F 0000000000000006
436.61115|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800008780701103F 0000000000000000
436.61119|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800008780701103F 0000000000007F7F
436.61277|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80000C2A0701103F 0000000000006740
436.61282|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80000C2A0701103F 0000000000006740
436.61288|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80000C2B0701103F 0000000000006740
436.61293|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80000C2B0701103F 0000000000006740
436.61452|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80000C740701103F 0000000000000000
436.61457|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80000C740701103F 0000000000006000
436.61462|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80000C750701103F 0000000000000000
