438.79675|ISTEP 13. 9 - mss_ddr_phy_reset
438.81114|IPMI|wd: resetWatchDogTimer
438.81116|IPMI|rp: queuing sync 18:22
438.81117|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
438.81122|IPMI|dd: I>write ok 18:22 seq 81 len 0
438.84344|IPMI|dd: I>read b2h ok 1c:22 seq 81 len 0 cc 0
438.84351|ISTEPS_TRACE|call_mss_ddr_phy_reset entry
438.84427|ISTEPS_TRACE|Running p9_mss_ddr_phy_reset HWP on target HUID 00250000
438.84438|FAPI|ddr_phy.C: force mclk low for all ports
438.84444|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 0000000007010918 0400000000000000
438.84448|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 0000000007010918 0400000000000000
438.84454|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 0400000000000000
438.84459|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010918 0400000000000000
438.84470|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800000070701103F 0000000000008000
438.84475|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000007F0701103F 0000000000008000
438.84480|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800004070701103F 0000000000008000
438.84485|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000047F0701103F 0000000000008000
438.84490|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800008070701103F 0000000000008000
438.84495|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000087F0701103F 0000000000008000
438.84500|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80000C070701103F 0000000000008000
438.84505|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80000C7F0701103F 0000000000008000
438.84509|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800010070701103F 0000000000008000
438.84514|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000107F0701103F 0000000000008000
438.84519|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000070701103F 0000000000008000
438.84524|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007F0701103F 0000000000008000
