451.45807|ISTEP 14. 1 - mss_memdiag
451.46471|INITSVC|unloading [libistep13.so]
451.46507|INITSVC|unloading [libisteps_mss.so]
451.46629|INITSVC|unloading [libcen.so]
451.46639|INITSVC|unloading [libnestmemutils.so]
451.46649|INITSVC|loading [libistep14.so]
451.55417|INITSVC|loading [libdump.so]
451.56689|INITSVC|loading [libruntime.so]
451.58070|INITSVC|loading [libisteps_mss.so]
451.58762|INITSVC|loading [libpm.so]
451.75970|INITSVC|loading [libimageprocs.so]
451.75995|INITSVC|loading [libcen.so]
451.76017|INITSVC|loading [libnestmemutils.so]
451.79506|ISTEPS_TRACE|call_mss_memdiag entry
451.89024|TARG|getMasterCore: found 4 cores on master proc,l_masterCore PIR:0x4
451.89026|TARG|found master core: 0x1, PIR=0x4 :
451.89480|TARG|EntityPath
~[0x0000] 50687973 6963616c 3a2f5379 73302f4e    *Physical:/Sys0/N*
~[0x0010] 6f646530 2f50726f 63302f45 51302f45    *ode0/Proc0/EQ0/E*
~[0x0020] 58302f43 6f726531                      *X0/Core1        *
451.95310|FAPI_I|p9_pm_ocb_indir_setup_linear.C: p9_pm_ocb_indir_setup_linear Enter
451.95311|FAPI|p9_pm_ocb_init.C: p9_pm_ocb_init Enter
451.95313|FAPI|p9_pm_ocb_init.C: *** Setup OCB Indirect Channel 0 
451.95314|FAPI|p9_pm_ocb_init.C: pm_ocb_setup Enter
451.98479|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D013 0800000000000000
451.98482|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D012 0400000000000000
451.98486|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D010 FFFBD00000000000
451.98488|FAPI|p9_pm_ocb_init.C: -----------------------------------------------------
451.98490|FAPI|p9_pm_ocb_init.C: OCB Channel Configuration                            
451.98493|FAPI|p9_pm_ocb_init.C: -----------------------------------------------------
451.98494|FAPI|p9_pm_ocb_init.C:   channel number             => 0 
451.98495|FAPI|p9_pm_ocb_init.C:   channel type               => 2 
451.98497|FAPI|p9_pm_ocb_init.C:   channel base address       => 0xFFFBD000 
451.98499|FAPI|p9_pm_ocb_init.C: -----------------------------------------------------
451.98500|FAPI|p9_pm_ocb_init.C: p9_pm_ocb_init EXIT
451.98503|FAPI|p9_pm_ocb_indir_setup_linear.C: Linear setup of channel 0 successful.
452.01607|FAPI_I|p9_pm_ocb_indir_setup_linear.C: p9_pm_ocb_indir_setup_linear Exit
452.01611|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D010 FFFBD00000000000
452.01613|FAPI|p9_pm_ocb_indir_access.C: OCB access for data write operation
452.03259|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006D011 0800000000000000
452.03262|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 4649523201008000
452.03265|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0394100000002000
452.03268|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 FC00000000000000
452.03271|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 031E8D0000000105
452.03275|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000202000003
452.03278|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0406000000020200
452.03281|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000030100000201
452.03284|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0300000004090000
452.03287|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 03021D000003020D
452.03290|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000107000000
452.03293|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0300000003010000
452.03296|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000010500000002
452.03301|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000003030000
452.03304|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0003240000000000
452.03307|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03310|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0008C000A0400000
452.03313|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 C3C02840BFE00000
452.03317|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 500F001C500F001B
452.03320|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 500400180104000A
452.03323|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 010108000204000A
452.03327|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0201108002011100
452.03330|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0304000A03011000
452.03333|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0301140003011800
452.03336|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0404000A04011800
452.03339|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0504000A05011800
452.03342|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 05011C0005012000
452.03345|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501240005012840
452.03348|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501290005012940
452.03351|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 050129C005012C00
452.03354|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 05012C4005013030
