458.09534|ISTEP 14. 2 - mss_thermal_init
458.10155|IPMI|wd: resetWatchDogTimer
458.10156|IPMI|rp: queuing sync 18:22
458.10158|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
458.10163|IPMI|dd: I>write ok 18:22 seq 40 len 0
458.11636|IPMI|dd: I>read b2h ok 1c:22 seq 40 len 0 cc 0
458.11643|ISTEPS_TRACE|call_mss_thermal_init entry
458.11721|ISTEPS_TRACE|Running p9_mss_thermal_init HWP on target HUID 000B0000
458.13218|FAPI|p9_mss_thermal_init.C: Start thermal_init
458.16048|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010916 0100010010002000
458.16053|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010916 0040004010002000
458.16058|SCAN|TRACE : GETSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010811 00C0481800000000
458.16062|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010811 00C0481800000000
458.16064|FAPI|p9_mss_thermal_init.C: End thermal_init
458.16066|ISTEPS_TRACE|SUCCESS : p9_mss_thermal_init HWP() on 0x000B0000 MCS
458.16135|ISTEPS_TRACE|Running p9_throttle_sync HWP on target HUID 00050000
458.18371|FAPI|0
458.18371|FAPI|00
458.18373|FAPI|501081118000000001800000000
458.19839|SCAN|TRACE : PUTSCOMMASK : pu.mcs:k0:n0:s0:p00:c0 : 0000000005010811 0000001800000000 0000001800000000
458.20792|SCAN|TRACE : PUTSCOMMASK : pu.mcs:k0:n0:s0:p00:c0 : 0000000005010815 0000000000000000 0000800000000000
458.20793|FAPI|5010815FFFF800000000000FFFD800000000000
458.20800|SCAN|TRACE : PUTSCOMMASK : pu.mcs:k0:n0:s0:p00:c0 : 0000000005010815 FFFD800000000000 FFFF800000000000
458.20801|FAPI|5010815800000000000000
458.20808|SCAN|TRACE : PUTSCOMMASK : pu.mcs:k0:n0:s0:p00:c0 : 0000000005010815 0000000000000000 0080000000000000
458.20811|ISTEPS_TRACE|SUCCESS : p9_throttle_sync HWP on 0x00050000 processor
458.20812|ISTEPS_TRACE|call_mss_thermal_init exit
458.32460|SCOM|doMulticastWorkaround on 00050000 for 50040018
458.32515|SCOM|doMulticastWorkaround on 00050000 for 50040009
458.32579|ERRL|I>Got an error log Msg - Type: 0x00000039
458.32580|ERRL|I>Flush message received
458.32582|INITSVC|<<doIstep: step 14, substep 2
458.32584|INITSVC|>>doIstep: step 14, substep 3, task proc_pcie_config
