458.32587|ISTEP 14. 3 - proc_pcie_config
458.35179|ISTEPS_TRACE|call_proc_pcie_config entry
458.35251|ISTEPS_TRACE|target HUID 00050000
458.35558|FAPI|p9_pcie_config.C: Start
458.37534|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 0000000004010C05 0000000000000000
458.37538|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 0000000004010C05 0000000000000000
458.37543|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 0000000004010C00 0000000000000000
458.40361|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 0000000004010C00 1110020070799290
458.40365|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 0000000004010C03 0000000000000000
458.40369|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 0000000004010C03 9000000000000000
458.40374|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c0 : 000000000D010800 0000000200E00000
458.40380|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c1 : 0000000004010C05 0000000000000000
458.40384|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c1 : 0000000004010C05 0000000000000000
458.40388|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c1 : 0000000004010C00 0000000000000000
458.40393|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c1 : 0000000004010C00 1110020070799298
458.40397|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c1 : 0000000004010C03 0000000000000000
458.40401|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c1 : 0000000004010C03 9000000000000000
458.40406|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c1 : 000000000D010800 0000000200E00000
458.40411|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c2 : 0000000004010C05 0000000000000000
458.40415|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c2 : 0000000004010C05 0000000000000000
458.40420|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c2 : 0000000004010C00 0000000000000000
458.40424|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c2 : 0000000004010C00 1110020070799298
458.40429|SCAN|TRACE : GETSCOM     :  pu.pec:k0:n0:s0:p00:c2 : 0000000004010C03 0000000000000000
458.40433|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c2 : 0000000004010C03 9000000000000000
458.40438|SCAN|TRACE : PUTSCOM     :  pu.pec:k0:n0:s0:p00:c2 : 000000000D010800 0000000200E00000
458.40443|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C4A FFFFFFFFFFFFFFFF
458.40447|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C4B FFFFFFFFFFFFFFFF
458.40452|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C40 0000000000000000
458.40456|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C48 0000000000000000
458.40460|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C46 5B0F81E000000000
458.40465|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C47 7F0F81E000000000
458.40469|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C43 0030001C00000000
458.40474|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C55 0000000000000000
458.40478|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 000000000D01084B 0000000000000000
458.40483|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 000000000D010840 0000000000000000
458.40487|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 000000000D010848 0000000000000000
458.40491|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 000000000D010846 B000000000000000
458.40496|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 000000000D010847 B000000000000000
458.40500|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 000000000D010843 0E00000000000000
458.40656|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C4E 0600000000000000
458.40661|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C4F 0000000000000000
458.40665|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C50 0600000000000000
458.40669|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C51 0000000000000000
458.40675|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C52 0600000000000000
458.40679|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 0000000004010C54 0000000000000000
458.40683|SCAN|TRACE : PUTSCOM     :  pu.phb:k0:n0:s0:p00:c0 : 000000000D01084A 0000000000000000
