459.78192|ISTEP 14. 5 - proc_setup_bars
459.78842|ISTEPS_TRACE|Running p9_revert_sbe_mcs_setup on target HUID 00050000
459.78990|FAPI|p9_revert_sbe_mcs_setup.C: Start
459.81494|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005000001 E11F720000000000
459.81498|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501080A 8000000000000000
459.83708|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501080A 0000000000000000
459.83712|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005010812 00200000800403FC
459.83715|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005010812 0020000000040000
459.83718|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005010810 8000000033FDE07D
459.83721|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005010810 0000000033FDE07D
459.83724|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005010805 FFFFFFFFFFFFFFFF
459.83728|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005000001 E11F720000000000
459.83731|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000501088A 0000000000000000
459.83734|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501088A 0000000000000000
459.83737|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005010892 0000000000000000
459.83740|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005010892 0000000000040000
459.83744|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000005010890 0000000001FE2080
459.83747|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005010890 0000000001FE2080
459.83752|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005010885 FFFFFFFFFFFFFFFF
459.83756|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000003000001 E1BF720000000000
459.83760|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000301080A 0000000000000000
459.83763|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000301080A 0000000000000000
459.83766|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000003010812 0000000000000000
459.83769|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000003010812 0000000000040000
459.83772|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000003010810 0000000001FE2080
459.83775|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000003010810 0000000001FE2080
459.83778|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000003010805 FFFFFFFFFFFFFFFF
459.83781|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000003000001 E1BF720000000000
459.83785|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000301088A 0000000000000000
459.83788|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000301088A 0000000000000000
459.83791|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000003010892 0000000000000000
459.83793|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000003010892 0000000000040000
459.83796|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000003010890 0000000001FE2080
459.83799|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000003010890 0000000001FE2080
459.83802|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000003010885 FFFFFFFFFFFFFFFF
459.83804|FAPI|p9_revert_sbe_mcs_setup.C: End
459.83871|ISTEPS_TRACE|p9_mss_setup_bars: proc target HUID 00050000
459.87498|FAPI|p9_mss_setup_bars.C: Num of MCS 1; Num of MIs 0
459.87649|FAPI|p9_mss_setup_bars.C: validateGroupData: MC unit pos 0
459.87655|FAPI|p9_mss_setup_bars.C: MCA 1: Total DIMM size 8 GB
459.89852|FAPI|p9_mss_setup_bars.C: getGroupDataMcMemSize - Port 1, DIMM size 8 GB
459.89853|FAPI|p9_mss_setup_bars.C: Total memory size= 8 GB
459.91010|FAPI|p9_mss_setup_bars.C: Build BAR data for MC target: pu.mcs:k0:n0:s0:p00:c0
459.91163|FAPI|p9_mss_setup_bars.C: getPortData from NON-MIRROR group - Results for MCS/MI pos 0
459.91164|FAPI|p9_mss_setup_bars.C:     Port 0:
459.91165|FAPI|p9_mss_setup_bars.C:         Not configured
459.91166|FAPI|p9_mss_setup_bars.C:     Port 1:
459.91167|FAPI|p9_mss_setup_bars.C:         myGroup 0
459.91169|FAPI|p9_mss_setup_bars.C:         numPortsInGroup 1
459.91170|FAPI|p9_mss_setup_bars.C:         groupSize 8
459.91172|FAPI|p9_mss_setup_bars.C:         groupBaseAddr 0x0000000000000000
459.91173|FAPI|p9_mss_setup_bars.C:         channelId 0
459.91175|FAPI|p9_mss_setup_bars.C:         altMemValid[0] 0
459.91176|FAPI|p9_mss_setup_bars.C:         altMemSize[0]  0
459.91178|FAPI|p9_mss_setup_bars.C:         altBaseAddr[0] 0x0000000000000000
459.91179|FAPI|p9_mss_setup_bars.C:         altMemValid[1] 0
459.91180|FAPI|p9_mss_setup_bars.C:         altMemSize[1]  0
459.91182|FAPI|p9_mss_setup_bars.C:         altBaseAddr[1] 0x0000000000000000
459.91184|FAPI|p9_mss_setup_bars.C:     MC pos: 0 - BAR data:
459.91185|FAPI|p9_mss_setup_bars.C:         MCFGP_valid 0
459.91186|FAPI|p9_mss_setup_bars.C:         MCFGP_chan_per_group 0
459.91188|FAPI|p9_mss_setup_bars.C:         MCFGP_chan0_group_member_id 0
459.91190|FAPI|p9_mss_setup_bars.C:         MCFGP_chan1_group_member_id 0
459.91191|FAPI|p9_mss_setup_bars.C:         MCFGP_group_size 0
459.91193|FAPI|p9_mss_setup_bars.C:         MCFGP_groupBaseAddr 0x0000000000000000
459.91194|FAPI|p9_mss_setup_bars.C:         MCFGPM_valid 1
459.91195|FAPI|p9_mss_setup_bars.C:         MCFGPM_group_size 1
459.91198|FAPI|p9_mss_setup_bars.C:         MCFGPM_groupBaseAddr 0x0000000000000000
459.91199|FAPI|p9_mss_setup_bars.C:         MCFGPA_SMF_valid 0
459.91201|FAPI|p9_mss_setup_bars.C:         MCFGPA_SMF_LOWER_addr 0x0000000000000000
459.91203|FAPI|p9_mss_setup_bars.C:         MCFGPA_SMF_UPPER_addr 0x0000000000000000
459.91205|FAPI|p9_mss_setup_bars.C:         MCFGPMA_SMF_valid 0
459.91207|FAPI|p9_mss_setup_bars.C:         MCFGPMA_SMF_LOWER_addr 0x0000000000000000
459.91209|FAPI|p9_mss_setup_bars.C:         MCFGPMA_SMF_UPPER_addr 0x0000000000000000
459.91210|FAPI|p9_mss_setup_bars.C:         MCFGPA_HOLE_valid[0]      0
459.91212|FAPI|p9_mss_setup_bars.C:         MCFGPA_HOLE_LOWER_addr[0] 0
459.91213|FAPI|p9_mss_setup_bars.C:         MCFGPA_HOLE_UPPER_addr[0] 0
459.91215|FAPI|p9_mss_setup_bars.C:         MCFGPMA_HOLE_valid[0]      0
459.91216|FAPI|p9_mss_setup_bars.C:         MCFGPMA_HOLE_LOWER_addr[0] 0
459.91218|FAPI|p9_mss_setup_bars.C:         MCFGPMA_HOLE_UPPER_addr[0] 0
459.91219|FAPI|p9_mss_setup_bars.C:         MCFGPA_HOLE_valid[1]      0
459.91220|FAPI|p9_mss_setup_bars.C:         MCFGPA_HOLE_LOWER_addr[1] 0
459.91222|FAPI|p9_mss_setup_bars.C:         MCFGPA_HOLE_UPPER_addr[1] 0
459.91223|FAPI|p9_mss_setup_bars.C:         MCFGPMA_HOLE_valid[1]      0
459.91224|FAPI|p9_mss_setup_bars.C:         MCFGPMA_HOLE_LOWER_addr[1] 0
459.91226|FAPI|p9_mss_setup_bars.C:         MCFGPMA_HOLE_UPPER_addr[1] 0
459.91228|FAPI|p9_mss_setup_bars.C: Unmask FIR for MC target: pu.mcs:k0:n0:s0:p00:c0
459.91233|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010807 8080000000000000
459.91238|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 0000000005010804 137FFFFFFFFFFFFF
459.91240|FAPI|p9_mss_setup_bars.C: Program MC target: pu.mcs:k0:n0:s0:p00:c0
459.91243|FAPI|p9_mss_setup_bars.C: Write MCFGP reg 0x000000000501080A, Value 0x0000000000000000
459.91247|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 000000000501080A 0000000000000000
459.91250|FAPI|p9_mss_setup_bars.C: Write MCFGPM reg 0x000000000501080C, Value 0x8000010000000000
459.91255|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 000000000501080C 8000010000000000
459.91407|FAPI|p9_mss_setup_bars.C: Write MCFGPA reg 0x000000000501080B, Value 0x0000000000000000
459.91411|SCAN|TRACE : PUTSCOM     :  pu.mcs:k0:n0:s0:p00:c0 : 000000000501080B 0000000000000000
