460.94878|ISTEP 15. 1 - host_build_stop_image
460.95500|INITSVC|unloading [libistep14.so]
460.95682|INITSVC|unloading [libdump.so]
460.96855|INITSVC|unloading [libruntime.so]
460.97466|INITSVC|unloading [libisteps_mss.so]
461.14419|INITSVC|unloading [libpm.so]
461.24062|INITSVC|unloading [libimageprocs.so]
461.25647|INITSVC|unloading [libcen.so]
461.25967|INITSVC|unloading [libnestmemutils.so]
461.25984|INITSVC|loading [libistep15.so]
461.27660|INITSVC|loading [libp9_stop_util.so]
461.29151|INITSVC|loading [libnestmemutils.so]
461.30431|INITSVC|loading [libp9_cpuWkup.so]
461.31041|INITSVC|loading [libpm.so]
461.43504|INITSVC|loading [libimageprocs.so]
461.45486|INITSVC|loading [libisteps_mss.so]
461.99110|ISTEPS_TRACE|host_build_stop_image entry
461.99112|ISTEPS_TRACE|HRMOR=00000000F8000000
461.99183|ISTEPS_TRACE|HOMER base = 0x00000001FD800000
461.99184|ISTEPS_TRACE|HCODE addr = 0x0x814c1000 
462.01158|ISTEPS_TRACE|pullTraceBuildInfo: image build date = 20201019, build time = 1637, build tag = hw021820a.opmst
462.01231|ISTEPS_TRACE|Found 1 functional procs in system
462.01232|ISTEPS_TRACE|Build STOP image for proc target HUID 00050000
462.01626|ISTEPS_TRACE|Real mem  buffer for cpu 0x00000000 = 0x1fd800000, virtAddr=0x23800000000
462.02706|UTIL|UtilLidMgr::getLidPnorSectionInfo Lid 0x81E00620 in PNOR
462.02708|UTIL|UtilLidMgr::getLidPnorSectionInfo Lid 0x81E00620 in PNOR
462.07755|ISTEPS_TRACE|I>getRingOvd():No overrides in RINGOVD section found
462.09741|FAPI_I|p9_hcode_image_build.C: >> p9_hcode_image_build 
462.13584|FAPI|p9_hcode_image_build.C: >> validateInputArguments ...
462.15712|FAPI|p9_hcode_image_build.C: size is 0x0009AB40; xip_image_size RC is 0x00 HARDWARE_IMG_SIZE 0x00100000  Sz 0x0009AB40
462.17232|FAPI|p9_hcode_image_build.C: << validateInputArguments ...
462.17387|FAPI|p9_hcode_image_build.C: SGPE building
462.18792|FAPI|p9_hcode_image_build.C: >> buildSgpeImage
462.19844|FAPI|p9_hcode_image_build.C: QPMR Header
462.23621|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : Yes For Sec Id 0x05 EC : 0x23
462.23627|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : No For Sec Id 0x06 EC : 0x23
462.23633|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : No For Sec Id 0x07 EC : 0x23
462.23637|FAPI|p9_hcode_image_build.C: SGPE Boot Loader QPMR Offset = 0x00000600, Size = 0x000001E8
462.23643|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : Yes For Sec Id 0x08 EC : 0x23
462.28082|FAPI|p9_hcode_image_build.C: SGPE Header
462.28083|FAPI|p9_hcode_image_build.C:   Reset Addr      = 0xFFF2D840
462.28085|FAPI|p9_hcode_image_build.C:   IVPR Addr       = 0xFFF2D800
462.28086|FAPI|p9_hcode_image_build.C:   Build Date      = 0x07E40A13
462.28088|FAPI|p9_hcode_image_build.C:   Version         = 0x00000003
462.28089|FAPI|p9_hcode_image_build.C:   Timebase (Hz)   = 0x01BCE39A (29156250)
462.28091|FAPI|p9_hcode_image_build.C:   CR OCC Offset   = 0x0000BF64
462.28241|FAPI|p9_hcode_image_build.C:   CR Ovrd Offset  = 0x00000000
462.28242|FAPI|p9_hcode_image_build.C: << buildSgpeImage
462.28392|FAPI|p9_hcode_image_build.C: >> buildSgpeAux
462.30371|FAPI|p9_hcode_image_build.C: >> initReadIntervalForAuxFunc
462.30373|FAPI|p9_hcode_image_build.C: << initReadIntervalForAuxFunc
462.30374|FAPI|p9_hcode_image_build.C: >> read24x7EnableStatus
462.30376|FAPI|p9_hcode_image_build.C: << read24x7EnableStatus
462.30377|FAPI|p9_hcode_image_build.C: << buildSgpeAux
462.30378|FAPI|p9_hcode_image_build.C: SGPE built
462.30379|FAPI|p9_hcode_image_build.C: CPMR / Self Restore building
462.30381|FAPI|p9_hcode_image_build.C: >> buildCoreRestoreImage
462.30382|FAPI|p9_hcode_image_build.C: Self Restore Image install
462.30384|FAPI|p9_hcode_image_build.C:   Offset = 0x00030860, Size = 0x000029E8
462.30389|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : No For Sec Id 0x06 EC : 0x23
462.32747|FAPI|p9_hcode_image_build.C: Overlay CPMR Header at the beginning of CPMR
462.32752|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : Yes For Sec Id 0x05 EC : 0x23
462.32756|FAPI|p9_hcode_image_build.C: Padding CPMR Core Restore portion with Attn opcodes
462.32757|FAPI|p9_hcode_image_build.C: >> initSelfRestoreRegion
462.33004|FAPI|p9_hcode_image_build.C:  Size of SmfSprRestoreRegion_t 0x00001000
462.33006|FAPI|p9_hcode_image_build.C: << initSelfRestoreRegion
462.33008|FAPI|p9_hcode_image_build.C: Core Pos 0x01
462.34566|FAPI|p9_hcode_image_build.C: Core Pos 0x03
462.34569|FAPI|p9_hcode_image_build.C: Core Pos 0x04
462.34572|FAPI|p9_hcode_image_build.C: Core Pos 0x07
462.35967|FAPI|p9_hcode_image_build.C: >> updateCpmrHeaderSR
462.35968|FAPI|p9_hcode_image_build.C: CPMR SR
462.35969|FAPI|p9_hcode_image_build.C: Fuse Mode                 :   0x000000AA
462.35971|FAPI|p9_hcode_image_build.C: CME Image Flag            :   0x00000000
462.35973|FAPI|p9_hcode_image_build.C: << updateCpmrHeaderSR
462.35974|FAPI|p9_hcode_image_build.C: << buildCoreRestoreImage
462.35976|FAPI|p9_hcode_image_build.C: CPMR / Self Restore built 
462.35977|FAPI|p9_hcode_image_build.C: CPMR / CME building
462.35978|FAPI|p9_hcode_image_build.C: >> buildCmeImage
462.35986|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : Yes For Sec Id 0x05 EC : 0x23
462.38236|FAPI|p9_hcode_image_build.C: << buildCmeImage
462.38238|FAPI|p9_hcode_image_build.C: CPMR / CME built
462.38239|FAPI|p9_hcode_image_build.C: PGPE building
462.38240|FAPI|p9_hcode_image_build.C: >> buildPgpeImage
462.38278|FAPI|p9_hcode_image_build.C: PPMR Header
