472.33472|ISTEP 15. 2 - proc_set_pba_homer_bar
472.34193|IPMI|wd: resetWatchDogTimer
472.34194|IPMI|rp: queuing sync 18:22
472.34195|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
472.34200|IPMI|dd: I>write ok 18:22 seq fb len 0
472.35956|IPMI|dd: I>read b2h ok 1c:22 seq fb len 0 cc 0
472.35963|ISTEPS_TRACE|call_proc_set_pba_homer_bar entry
472.37515|FAPI|p9_pm_set_homer_bar.C: Entering p9_pm_set_homer_bar ...
472.39691|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005012B00 00000001FD800000
472.39695|FAPI|p9_pm_pba_bar_config.C: i_pba_bar_size: 0x0000000000000004.  Final work_size: 0x0000000000000004
472.39698|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005012B04 0000000000300000
472.42036|ISTEPS_TRACE|call_proc_set_pba_homer_bar exit
472.42229|SCOM|doMulticastWorkaround on 00050000 for 50040018
472.42282|SCOM|doMulticastWorkaround on 00050000 for 50040009
472.42347|ERRL|I>Got an error log Msg - Type: 0x00000039
472.42348|ERRL|I>Flush message received
472.42350|INITSVC|<<doIstep: step 15, substep 2
472.42353|INITSVC|>>doIstep: step 15, substep 3, task host_establish_ex_chiplet
