472.42356|ISTEP 15. 3 - host_establish_ex_chiplet
472.42981|ISTEPS_TRACE|host_establish_ex_chiplet entry
472.43204|FAPI_I|p9_update_ec_eq_state.C: > p9_update_ec_eq_state
472.43205|FAPI|p9_update_ec_eq_state.C: > update_core_config...
472.43406|FAPI|p9_update_ec_eq_state.C:   Number of present cores = 24; Number of functional cores = 4
472.43409|FAPI|p9_update_ec_eq_state.C:   Checking if present EC 0 is functional
472.43411|FAPI|p9_update_ec_eq_state.C:   Removing EC 0 from MC group 0 (All chiplets)
472.43564|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43568|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000200F0001 FC00000000000000
472.43569|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43572|FAPI|p9_update_ec_eq_state.C:   Removing EC 0 from MC group 1 (All core chiplets)
472.43573|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43576|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000200F0002 FC00000000000000
472.43577|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43579|FAPI|p9_update_ec_eq_state.C:   Checking if present EC 1 is functional
472.43581|FAPI|p9_update_ec_eq_state.C:   Setting EC 1 into MC group 0 (All chiplets)
472.43582|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43587|SCAN|TRACE : GETSCOM     :  pu.core:k0:n0:s0:p00:c1 : 00000000200F0001 E000000000000000
472.43588|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43591|FAPI|p9_update_ec_eq_state.C:   Setting EC 1 into MC group 1 (All core chiplets)
472.43592|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43596|SCAN|TRACE : GETSCOM     :  pu.core:k0:n0:s0:p00:c1 : 00000000200F0002 E400000000000000
472.43598|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43600|FAPI|p9_update_ec_eq_state.C:   Setting EC 1 as good in value to be written to CCSR
472.43602|FAPI|p9_update_ec_eq_state.C:   Checking if present EC 2 is functional
472.43604|FAPI|p9_update_ec_eq_state.C:   Removing EC 2 from MC group 0 (All chiplets)
472.43605|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43609|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000220F0001 FC00000000000000
472.43610|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43612|FAPI|p9_update_ec_eq_state.C:   Removing EC 2 from MC group 1 (All core chiplets)
472.43614|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43617|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000220F0002 FC00000000000000
472.43618|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43620|FAPI|p9_update_ec_eq_state.C:   Checking if present EC 3 is functional
472.43622|FAPI|p9_update_ec_eq_state.C:   Setting EC 3 into MC group 0 (All chiplets)
472.43623|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43627|SCAN|TRACE : GETSCOM     :  pu.core:k0:n0:s0:p00:c3 : 00000000200F0001 FC00000000000000
472.43631|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c3 : 00000000200F0001 E0001C0000000000
472.43633|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43635|FAPI|p9_update_ec_eq_state.C:   Setting EC 3 into MC group 1 (All core chiplets)
472.43636|FAPI|p9_update_ec_eq_state.C: << set_mc_group
472.43640|SCAN|TRACE : GETSCOM     :  pu.core:k0:n0:s0:p00:c3 : 00000000200F0002 FC00000000000000
