474.16304|ISTEP 15. 4 - host_start_stop_engine
474.16796|IPMI|wd: resetWatchDogTimer
474.16797|IPMI|rp: queuing sync 18:22
474.16798|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
474.16803|IPMI|dd: I>write ok 18:22 seq ff len 0
474.19014|IPMI|dd: I>read b2h ok 1c:22 seq ff len 0 cc 0
474.19021|ISTEPS_TRACE|call_host_start_stop_engine entry
474.19095|ISTEPS_TRACE|Calling p9_pm_stop_gpe_init for 0x00050000 target
474.20958|FAPI_I|p9_pm_stop_gpe_init.C: >> p9_pm_stop_gpe_init
474.20960|FAPI|p9_pm_stop_gpe_init.C: Executing p9_stop_gpe_init in mode PM_INIT
474.24809|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c1 : 00000000200F0108 2000000000000000
474.24814|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c3 : 00000000200F0108 2000000000000000
474.24819|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c4 : 00000000200F0108 2000000000000000
474.24824|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c7 : 00000000200F0108 2000000000000000
474.24975|FAPI_I|p9_pm_pfet_init.C: Entering p9_pm_pfet_init
474.24976|FAPI|p9_pm_pfet_init.C: PFET init...
474.25045|FAPI|p9_pm_pfet_init.C: Executing pfet_init...
474.26078|FAPI|p9_pm_pfet_init.C: Set PFET values into Core chiplet  1
474.26083|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c1 : 00000000200F011B 9900000000000000
474.26088|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c1 : 00000000200F011D 8800000000000000
474.26089|FAPI|p9_pm_pfet_init.C: Set PFET values into Core chiplet  3
474.26094|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c3 : 00000000200F011B 9900000000000000
474.26099|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c3 : 00000000200F011D 8800000000000000
