476.96011|ISTEP 16. 2 - host_activate_slave_cores
476.96699|IPMI|wd: resetWatchDogTimer
476.96700|IPMI|rp: queuing sync 18:22
476.96701|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
476.96706|IPMI|dd: I>write ok 18:22 seq 13 len 0
476.98949|IPMI|dd: I>read b2h ok 1c:22 seq 13 len 0 cc 0
476.98954|ISTEPS_TRACE|call_host_activate_slave_cores entry
476.99012|ISTEPS_TRACE|Iterating all cores in system - This is core: 0
476.99013|ISTEPS_TRACE|pir for this core is: 4
476.99163|ISTEPS_TRACE|Iterating all cores in system - This is core: 1
476.99164|ISTEPS_TRACE|pir for this core is: c
476.99165|ISTEPS_TRACE|call_host_activate_slave_cores: Waking c.
476.99168|INTR|Add CPU group[0], chip[0],core[3], thread[0]
476.99171|INTR|handleCpuTimeout task started responding to kernel message
476.99173|INTR|handleCpuTimeout for pir: 0xc
476.99344|INTR|I>IntrRp::msgHandler Doorbell wakeup received for 14
476.99345|INTR|I>IPI still pending for 0
476.99346|INTR|I>IntrRp::msgHandler Doorbell wakeup received for 15
476.99347|INTR|I>IPI still pending for 0
476.99348|INTR|I>IntrRp::msgHandler Doorbell wakeup received for 12
476.99349|INTR|I>IPI still pending for 0
476.99349|INTR|I>IntrRp::msgHandler Doorbell wakeup received for 13
476.99351|ISTEPS_TRACE|Iterating all cores in system - This is core: 2
476.99352|ISTEPS_TRACE|pir for this core is: 10
476.99353|ISTEPS_TRACE|call_host_activate_slave_cores: Waking 10.
476.99357|INTR|Add CPU group[0], chip[0],core[4], thread[0]
476.99360|INTR|handleCpuTimeout task started responding to kernel message
476.99362|INTR|handleCpuTimeout for pir: 0x10
477.03428|INTR|I>IntrRp::msgHandler Doorbell wakeup received for 19
477.03429|INTR|I>IPI still pending for 0
477.03430|INTR|I>IntrRp::msgHandler Doorbell wakeup received for 16
477.03431|INTR|I>IPI still pending for 0
477.03432|INTR|I>IntrRp::msgHandler Doorbell wakeup received for 17
477.03433|INTR|I>IPI still pending for 0
477.03434|INTR|I>IntrRp::msgHandler Doorbell wakeup received for 18
477.03436|ISTEPS_TRACE|Iterating all cores in system - This is core: 3
477.03437|ISTEPS_TRACE|pir for this core is: 1c
477.03438|ISTEPS_TRACE|call_host_activate_slave_cores: Waking 1c.
477.03443|INTR|Add CPU group[0], chip[0],core[7], thread[0]
477.03445|INTR|handleCpuTimeout task started responding to kernel message
