480.41866|ISTEP 16. 4 - mss_scrub
480.42155|ISTEPS_TRACE|call_mss_scrub: entry
480.43253|PRDF|>>[PRDF::startScrub] 
480.45418|FAPI|gen_mss_memdiags.H: continuous (background) scrub for pu.mcbist:k0:n0:s0:p00:c0
480.45423|FAPI|gen_mss_mcbist_settings.H: setting up constraints with stop 0x000fffff340001c0
480.45426|FAPI|gen_mss_mcbist_settings.H: setting up constraints with start address 0x0000001000000000
480.45428|FAPI|gen_mss_mcbist_settings.H: setting up constraints with end boundary 1 and speed 0x1
480.46473|FAPI|gen_mss_memdiags.H: setting up for continuous scrub for pu.mcbist:k0:n0:s0:p00:c0
480.46477|FAPI|gen_mss_mcbist.H: config MCBIST address range 0 start: 0x0000000000000000 (0x0000000000000000), end/len 0x00000007ffffffff (0x1ffffffffc000000)
480.46481|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CC 0000000000000000
480.46484|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CE 1FFFFFFFFC000000
480.46641|FAPI|gen_mss_memdiags.H: adding scrub subtest for dimm:k0:n0:s0:p02 RDIMM (DDR4) (dimm 0) ( 0x9408)
480.46642|FAPI|gen_mss_mcbist.H: changing subtest to jump to 2 (0x7100)
480.46645|FAPI|gen_mss_memdiags.H: last goto subtest (10) is going to subtest 2 ( 0x9408) for pu.mcbist:k0:n0:s0:p00:c0
480.46649|FAPI|gen_mss_mcbist.H: config MCBIST address range 1 start: 0x0000001000000000 (0x4000000000000000), end/len 0x00000017ffffffff (0x5ffffffffc000000)
480.46652|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CD 4000000000000000
480.46655|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CF 5FFFFFFFFC000000
480.46657|FAPI|gen_mss_mcbist.H: changed address select to index 1 (0x9009)
480.46659|FAPI|gen_mss_memdiags.H: adding scrub subtest 0 for port 1 dimm 0 (0x9409) for pu.mcbist:k0:n0:s0:p00:c0
480.46662|FAPI|gen_mss_memdiags.H: adding scrub subtest 1 to goto subtest 3 (port 0, dimm 0, test 0x7100) for pu.mcbist:k0:n0:s0:p00:c0
480.46664|FAPI|gen_mss_mcbist.H: changing subtest to jump to 3 (0x7180)
480.46665|FAPI|gen_mss_memdiags.H: memdiags base init for pu.mcbist:k0:n0:s0:p00:c0
480.46668|FAPI|gen_mss_memdiags.H: Stopping any mcbist operations which are in progress for pu.mcbist:k0:n0:s0:p00:c0
480.46671|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
480.46674|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 5000000000000000
480.46677|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DC 0000000000000000
480.46681|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123D7 00FFFF3FED000000
480.46683|FAPI|gen_mss_memdiags.H: MCBIST last address (during stop): 0x00ffff3fed000000 for pu.mcbist:k0:n0:s0:p00:c0
480.46685|FAPI|gen_mss_mcbist.H: change MCBIST pattern index 11
480.46686|FAPI|gen_mss_mcbist.H: load MCBIST end boundaries 0x0000000000000001 detect slave? no
480.46704|FAPI|gen_mss_mcbist.H: pu.mcbist:k0:n0:s0:p00:c0 setting bg scrub speed: 2666MT/s, memory: 8GB, duration: 43200s, gap: 112
480.46706|FAPI|gen_mss_mcbist.H: mcbist select ports: iv_control 0x3c00000000000000 (ports: 0xf)
480.46708|FAPI|gen_mss_mcbist.H: Clear MCBIST error state for pu.mcbist:k0:n0:s0:p00:c0
