482.20175|ISTEP 18.11 - proc_tod_setup
482.17320|IPMI|wd: resetWatchDogTimer
482.17321|IPMI|rp: queuing sync 18:22
482.17322|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
482.20606|IPMI|dd: I>write ok 18:22 seq 28 len 0
482.21089|IPMI|dd: I>read b2h ok 1c:22 seq 28 len 0 cc 0
482.21090|INITSVC|unloading [libistep16.so]
482.21110|INITSVC|unloading [libnestmemutils.so]
482.21124|INITSVC|unloading [libp9_cpuWkup.so]
482.21138|INITSVC|unloading [libisteps_mss.so]
482.21226|INITSVC|unloading [libpm.so]
482.21250|INITSVC|unloading [libimageprocs.so]
482.21259|INITSVC|unloading [libisteps_nest.so]
482.21270|INITSVC|loading [libtod.so]
482.24553|INITSVC|loading [libistep18.so]
482.26163|INITSVC|loading [libp9_cpuWkup.so]
482.26185|INITSVC|loading [libfab_iovalid.so]
482.27523|IPMI|rp: queuing async 10:30
482.27529|IPMI|rp: W>Got message (0x10:0x30): l_is_pnor: 0
482.27538|IPMI|dd: I>write ok 10:30 seq 2c len a
482.27539|ISTEPS_TRACE|>> TOD:: call_tod_setup
482.30840|ISTEPS_TRACE|>> TOD:: 
482.30840|ISTEPS_TRACE|<< TOD:: 
482.30989|ISTEPS_TRACE|>> TOD:: TodSvc::todSetup
482.31138|ISTEPS_TRACE|>> TOD:: Topology type 0X00000000
482.31139|ISTEPS_TRACE|<< TOD:: 
482.31139|ISTEPS_TRACE|>> TOD:: isMPIPL
482.31140|ISTEPS_TRACE|<< TOD:: Output Params - o_mpIPL: 0
482.31438|ISTEPS_TRACE|>> TOD:: TodControls constructor
482.31438|ISTEPS_TRACE|<< TOD:: TodControls constructor
482.31439|ISTEPS_TRACE|>> TOD:: isTodRunning
482.31440|ISTEPS_TRACE|>> TOD:: getConfiguredMdmt
482.31596|IPMI|dd: I>read b2h ok 14:30 seq 2c len 0 cc 0
482.31794|ISTEPS_TRACE|<< TOD:: 
482.31795|ISTEPS_TRACE|<< TOD:: TOD HW State = 0
482.31796|ISTEPS_TRACE|>> TOD:: TodControls::destroy
482.31796|ISTEPS_TRACE|<< TOD:: 
482.31797|ISTEPS_TRACE|>> TOD:: TodControls::destroy
482.31798|ISTEPS_TRACE|<< TOD:: 
482.31798|ISTEPS_TRACE|>> TOD:: buildGardedTargetsList
482.31799|ISTEPS_TRACE|I> TOD:: Clearing the list of garded targets
482.31800|ISTEPS_TRACE|>> TOD:: gardGetGardedUnits
482.31801|HWAS_I|I>hwasPlatDeconfigGard.C: Get returning 0 GARD Records
482.31802|ISTEPS_TRACE|<< TOD:: 
482.31803|ISTEPS_TRACE|<< TOD:: 
482.31803|ISTEPS_TRACE|>> TOD:: buildTodDrawers
482.31804|ISTEPS_TRACE|>> TOD:: Function Node Target On System
482.31855|ISTEPS_TRACE|>> TOD:: Created TOD drawer with id 0x00, parent node 0x00020000
482.31855|ISTEPS_TRACE|<< TOD:: 
482.31856|ISTEPS_TRACE|>> TOD:: 
482.31857|ISTEPS_TRACE|>> TOD:: Created proc 0x00050000 on drawer 0x00
482.31858|ISTEPS_TRACE|>> TOD:: init
482.29206|ISTEPS_TRACE|<< TOD:: init
482.29207|ISTEPS_TRACE|<< TOD:: TodProc constructor
482.29208|ISTEPS_TRACE|<< TOD:: buildTodDrawers
482.29209|ISTEPS_TRACE|>> TOD:: TodTopologyManager::create
482.29209|ISTEPS_TRACE|>> TOD:: Input config is 0x00
482.29211|ISTEPS_TRACE|I> TOD:: No MDMT configured for other config(0x01) yet
482.29211|ISTEPS_TRACE|>> TOD:: TodDrawer::getPotentialMdmts
482.29212|ISTEPS_TRACE|>> TOD:: 
482.29213|ISTEPS_TRACE|<< TOD:: 
482.29214|ISTEPS_TRACE|>> TOD:: checkGardStatusOfTarget
482.29215|ISTEPS_TRACE|<< TOD:: Target 0x00050000 is not garded
482.29215|ISTEPS_TRACE|<< TOD:: 
482.29216|ISTEPS_TRACE|>> TOD:: getProcWithMaxCores
482.29245|ISTEPS_TRACE|I> TOD:: getProcWithMaxCores,On drawer 0x 0, processor 0x00050000 has maximum cores count = 4 
482.29246|ISTEPS_TRACE|<< TOD:: 
482.29246|ISTEPS_TRACE|>> TOD:: setMdmt
482.29247|ISTEPS_TRACE|>> TOD:: setMasterType
482.29249|ISTEPS_TRACE|I> TOD:: Proc 0X00050000 is the drawer master for TOD drawer 0x00
482.29250|ISTEPS_TRACE|I> TOD:: Proc 0X00050000 is a TOD master
482.29250|ISTEPS_TRACE|<< TOD:: setMasterType
482.29251|ISTEPS_TRACE|I> TOD:: MDMT for configuration 0x00 is proc 0x00050000, 
482.29253|ISTEPS_TRACE|<< TOD:: 
482.29254|ISTEPS_TRACE|I> TOD:: MDMT for configuration 0x00, is proc 0x00050000
482.29255|ISTEPS_TRACE|<< TOD:: 
482.29256|ISTEPS_TRACE|I> TOD:: TOD drawer(0x00) is the master drawer
482.29257|ISTEPS_TRACE|>> TOD:: 
482.29257|ISTEPS_TRACE|I> TOD:: TOD drawer id 0x00
482.29258|ISTEPS_TRACE|>> TOD:: 
482.29259|ISTEPS_TRACE|<< TOD:: 
482.29261|ISTEPS_TRACE|>> TOD:: Source proc HUID = 0x00050000 Destination proc HUID = 0x00050000 Bus type for connection = 0x0000000E 
482.29263|ISTEPS_TRACE|I> TOD:: This and the destination are the same procs
482.29264|ISTEPS_TRACE|<< TOD:: connect. errHdl = 0x0
482.29264|ISTEPS_TRACE|>> TOD:: addChild
482.29265|ISTEPS_TRACE|<< TOD:: addChild
482.29266|ISTEPS_TRACE|<< TOD:: 
482.29267|ISTEPS_TRACE|<< TOD:: 
482.29267|ISTEPS_TRACE|>> TOD:: dumpTopology
482.29268|ISTEPS_TRACE|I> TOD:: TOPOLOGY DUMP> Start, topology type PRIMARY
482.29269|ISTEPS_TRACE|I> TOD:: TOPOLOGY DUMP> TOD Drawer(0x00)
482.29270|ISTEPS_TRACE|I> TOD:: TOPOLOGY DUMP> parent---bus out---bus in---child
482.29271|ISTEPS_TRACE|I> TOD:: Proc 0x00050000 is the MDMT
482.29272|ISTEPS_TRACE|I> TOD:: TOPOLOGY DUMP> End
482.29273|ISTEPS_TRACE|<< TOD:: dumpTopology
482.29274|ISTEPS_TRACE|>> TOD:: 
482.29275|ISTEPS_TRACE|I> TOD:: For topology 0x00000000  Passing OSC 0x00000000  to  p9_tod_setup 
482.35722|FAPI|p9_tod_setup.C: Configuring Primary topology (OSC0 is connected, OSC1 is not connected)
482.36316|FAPI|p9_tod_setup.C: pu:k0:n0:s0:p00 (Delay = 6)
482.36318|FAPI|p9_tod_setup.C: Clearing previous Primary topology from pu:k0:n0:s0:p00
482.36321|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040001 0000000000000000
482.36473|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040003 0000000000000000
482.36476|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040005 0000000000000000
482.36478|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040005 0000003F00000000
482.36481|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040007 0000000000000000
482.36483|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040007 6000000000000000
482.36486|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040001 0000000000000000
482.36488|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040003 0000000000000000
482.36490|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040001 0000000000000000
482.36492|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040003 0000000000000000
482.36494|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000050018 000EF30C00000000
482.36497|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040000 0000000000000000
482.36499|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040000 4083000000000000
482.36501|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040001 0000000000000000
482.36503|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040001 0000000006000000
482.36505|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040006 0300000439000000
482.36507|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040006 00F3000439000000
482.36510|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040010 0000000000000000
482.36512|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040010 003F000000000000
482.36513|ISTEPS_TRACE|<< TOD:: 
482.36514|ISTEPS_TRACE|>> TOD:: 
482.36516|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040000 4083000000000000
482.36518|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040001 0000000006000000
482.36520|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040002 0000000000000000
482.36522|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040003 0000000000000000
482.36525|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040004 0000000000000000
482.36527|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040005 0000003F00000000
482.36530|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040006 03F300043A000000
482.36532|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040007 6000000000000000
482.36534|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040010 003F000000000000
482.36535|ISTEPS_TRACE|<< TOD:: 
482.36536|ISTEPS_TRACE|>> TOD:: buildTodDrawers
482.36537|ISTEPS_TRACE|>> TOD:: Function Node Target On System
482.36589|ISTEPS_TRACE|>> TOD:: Created TOD drawer with id 0x00, parent node 0x00020000
482.36590|ISTEPS_TRACE|<< TOD:: 
482.36591|ISTEPS_TRACE|>> TOD:: 
482.36592|ISTEPS_TRACE|>> TOD:: Created proc 0x00050000 on drawer 0x00
482.36592|ISTEPS_TRACE|>> TOD:: init
482.36644|ISTEPS_TRACE|<< TOD:: init
482.36645|ISTEPS_TRACE|<< TOD:: TodProc constructor
482.36645|ISTEPS_TRACE|<< TOD:: buildTodDrawers
482.36646|ISTEPS_TRACE|>> TOD:: Topology type 0X00000001
482.36647|ISTEPS_TRACE|<< TOD:: 
482.36648|ISTEPS_TRACE|>> TOD:: TodTopologyManager::create
482.36649|ISTEPS_TRACE|>> TOD:: Input config is 0x01
482.36651|ISTEPS_TRACE|I> TOD:: MDMT(0x00050000) is configured for the opposite config(0x00)
482.36652|ISTEPS_TRACE|>> TOD:: Other MDMT : 0x00050000, Input config : 0x01
482.36653|ISTEPS_TRACE|>> TOD:: TodDrawer::getPotentialMdmts
482.36654|ISTEPS_TRACE|>> TOD:: 
482.36654|ISTEPS_TRACE|<< TOD:: 
482.36655|ISTEPS_TRACE|>> TOD:: checkGardStatusOfTarget
482.36656|ISTEPS_TRACE|<< TOD:: Target 0x00050000 is not garded
482.36657|ISTEPS_TRACE|<< TOD:: 
482.36658|ISTEPS_TRACE|>> TOD:: getProcWithMaxCores
482.36659|ISTEPS_TRACE|<< TOD:: 
482.36659|ISTEPS_TRACE|<< TOD:: 
482.36662|ISTEPS_TRACE|I> TOD:: For config 0x01, the only option for the MDMT is the MDMT(0x00050000) chosen for the opposite config 0x00
482.36663|ISTEPS_TRACE|>> TOD:: TodDrawer::getPotentialMdmts
482.36664|ISTEPS_TRACE|>> TOD:: 
482.36665|ISTEPS_TRACE|<< TOD:: 
