483.25929|ISTEP 18.12 - proc_tod_init
483.23488|ISTEPS_TRACE|>> TOD:: call_tod_init
483.23489|ISTEPS_TRACE|>> TOD:: 
483.23490|ISTEPS_TRACE|>> TOD:: isTodRunning
483.23490|ISTEPS_TRACE|>> TOD:: getConfiguredMdmt
483.23544|ISTEPS_TRACE|<< TOD:: 
483.23545|ISTEPS_TRACE|<< TOD:: TOD HW State = 0
483.23545|ISTEPS_TRACE|>> TOD:: 
483.23548|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040030 FFFFFFFFFFFFFFFF
483.23696|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040013 8000000000000000
483.26697|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040018 8000000000000000
483.26699|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040016 8000000000000000
483.26701|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040021 0000000000003FFC
483.26704|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040022 8000000000000000
483.26706|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040015 8000000000000000
483.26714|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040024 2800000000000000
483.26716|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040030 0000000000B00000
483.26718|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040030 0000000000000000
483.26720|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040032 0000000003F00000
483.26722|FAPI|p9_tod_init.C: pu:k0:n0:s0:p00 (Depth = 0)
483.26725|ISTEPS_TRACE|I> TOD:: Successfully completed  p9_tod_init. MDMT's HUID is 0x00050000. MDMT Master type : 0x00000001. 
483.26726|ISTEPS_TRACE|<< TOD:: 
483.26727|ISTEPS_TRACE|<< TOD:: 
483.51004|ERRL|I>Got an error log Msg - Type: 0x00000039
483.51005|ERRL|I>Flush message received
483.51006|INITSVC|<<doIstep: step 18, substep 12
483.51008|INITSVC|>>doIstep: step 20, substep 1, task host_load_payload
