491.51707|ISTEP 21. 1 - host_runtime_setup
491.52136|IPMI|wd: resetWatchDogTimer
491.52137|IPMI|rp: queuing sync 18:22
491.52138|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
491.52142|IPMI|dd: I>write ok 18:22 seq 41 len 0
491.55155|IPMI|dd: I>read b2h ok 1c:22 seq 41 len 0 cc 0
491.55157|INITSVC|unloading [libistep20.so]
491.55169|INITSVC|unloading [libxz.so]
491.55181|INITSVC|unloading [libruntime.so]
491.55196|INITSVC|loading [libistep21.so]
491.57802|INITSVC|loading [libruntime.so]
491.57843|INITSVC|loading [libp9_cpuWkup.so]
491.57855|INITSVC|loading [libpm.so]
491.57468|INITSVC|loading [libnestmemutils.so]
491.57478|INITSVC|loading [libimageprocs.so]
491.57490|INITSVC|loading [libhtmgt.so]
491.66401|INITSVC|loading [libisteps_mss.so]
491.70535|INITSVC|loading [libnvram.so]
491.69407|ISTEPS_TRACE|call_host_runtime_setup entry
491.69408|INITSVC|>>IStepDispatcher::waitForSyncPoint
491.69409|INITSVC|I>waitForSyncPoint: Istep mode or no base services, returning
491.69410|INITSVC|<<IStepDispatcher::waitForSyncPoint
491.69556|ISTEPS_TRACE|sendFreqAttrData
491.69557|ISTEPS_TRACE|sendFreqAttrData hb_images = 0x0, nodeid = 0x0
491.69558|UTILTCE|I>utilUseTcesForDmas: FALSE
491.75072|RUNTIME|hb_images = 0x0, nodeid = 0x0
491.75075|SBEIO|psudd: Sending Req = 00000000000CD706 0000000000000000 0000000000000000 0000000000000000 to 00050000
491.75399|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
491.75400|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
491.75402|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
491.72142|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
491.72157|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
491.75462|ISTEPS_TRACE|>>verifyAndMovePayload()
491.75463|UTILTCE|I>utilUseTcesForDmas: FALSE
491.75465|ISTEPS_TRACE|<<verifyAndMovePayload(): l_err rc = 0x0
491.75466|RUNTIME|PAYLOAD_KIND = 2 (is_phyp=0)
491.75467|RUNTIME|mapRegion> Mapped in 0x0-0x8001000 (8001000 ) @ 0x24000000000
491.75617|RUNTIME|>>getHostDataSection> i_section=2, i_instance=0
491.75618|RUNTIME|NACA=4000->0x24000004000
491.75619|RUNTIME|SPIRA-H=10400->0x24000010400
491.75620|RUNTIME|SPIRA Data @ 0x31200000 not mapped, mapping
491.75622|RUNTIME|mapRegion> Mapped in 0x31200000-0x3145A000 (25A000 ) @ 0x24800000000
491.75623|RUNTIME|SPIRA-S=0x24800000000
491.75626|RUNTIME|E>RUNTIME::check_header> Version not as expected for SPIRAS, continuing anyway. Act=0040, Exp=0050
491.75627|RUNTIME|Legacy SPIRA=10000->0x24000010000
491.75628|RUNTIME|Legacy SPIRA is not filled in, using SPIRA-H/S
491.75630|RUNTIME|E>RUNTIME::check_header> Version not as expected for IPLPMS, continuing anyway. Act=0071, Exp=0058
491.75631|RUNTIME|<<getHostDataSection> o_dataAddr=0x4F8, o_dataSize=328
491.75633|SECURE|I> getSbeSecurityBackdoor: SBE Security Backdoor is disabled.
491.75650|RUNTIME|Max TPMs = 0x0000
491.75650|RUNTIME|HW Keys' Hash Size = 64
491.76027|RUNTIME|Running populate_hbTpmInfo
491.76178|RUNTIME|E>populate_TpmInfoByNode: calling get_host_data_section() to populate instance 0
491.76179|RUNTIME|>>getHostDataSection> i_section=14, i_instance=0
491.76180|RUNTIME|<<getHostDataSection> o_dataAddr=0x258180, o_dataSize=256
491.73494|RUNTIME|populate_TpmInfoByNode: HDAT TPM Data successfully read. Struct Format:0xD1F0
491.73497|RUNTIME|populate_TpmINfoByNode - EyeCatch: 
~[0x0000] 54504d52 454c                          *TPMREL          *
491.73514|I2C|getDeviceInfo>>
491.74071|I2C|getMasterInfo(00050000)
491.74072|I2C|getMasterInfo(00050000): pushing back engine=0, scomAddr=0xA0000
