571.43774|ISTEP 21. 3 - host_start_payload
571.44291|IPMI|wd: setWatchDogTimer : sec=30, use=65, act=1, clr=2
571.44292|IPMI|rp: queuing async 18:24
571.44294|IPMI|rp: W>Got message (0x18:0x24): l_is_pnor: 0
571.44302|IPMI|dd: I>write ok 18:24 seq 8d len 6
571.51345|IPMI|dd: I>read b2h ok 1c:24 seq 8d len 0 cc 0
571.53425|INITSVC|InitService::registerShutdownEvent: componentID=0x1700, queue=0x658a88, msgType=0x1, priority=0x14
571.53430|INITSVC|InitService::unregisterShutdownEvent: componentID=0xb00, queue=0x384598, msgType=0x5, priority=0x10
571.53432|SBEIO|memRegion: >>closeAllUnsecureMemRegions: closing 4 region(s) among all targets
571.53436|ISTEPS_TRACE|>>call_host_start_payload::msgHandler()
571.53437|SBEIO|memRegion: printIvMemRegions
571.53438|SBEIO|memRegion: Target HUID 0x00050000
571.53440|SBEIO|memRegion: - 1/4: tgt=0x00050000: start_addr=0x00000001FD0D0000, size=0x00002000, flags=0x11 (Read-Only)
571.53443|SBEIO|memRegion: - 2/4: tgt=0x00050000: start_addr=0x00000000F8821000, size=0x00010000, flags=0x12 (Read-Write)
571.53446|SBEIO|memRegion: - 3/4: tgt=0x00050000: start_addr=0x00000000F8831000, size=0x037CF000, flags=0x11 (Read-Only)
571.53449|SBEIO|memRegion: - 4/4: tgt=0x00050000: start_addr=0x00000000F8000000, size=0x00821000, flags=0x11 (Read-Only)
571.53452|SBEIO|memRegion: closeAllUnsecureMemRegions: Closing Region - tgt=0x00050000: start_addr=0x00000001FD0D0000, size=0x00002000, flags=0x20
571.53455|SBEIO|psudd: Sending Req = 000000000011D601 0000000000002000 00000000FD0D0000 0000000000000000 to 00050000
571.55338|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
571.55339|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
571.55341|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
571.54927|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
571.54942|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
571.55367|SBEIO|memRegion: closeAllUnsecureMemRegions: Closing Region - tgt=0x00050000: start_addr=0x00000000F8821000, size=0x00010000, flags=0x20
571.55370|SBEIO|psudd: Sending Req = 000000000012D601 0000000000010000 00000000F8821000 0000000000000000 to 00050000
571.56778|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
571.56780|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
571.56781|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
571.56446|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
571.56460|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
571.56939|SBEIO|memRegion: closeAllUnsecureMemRegions: Closing Region - tgt=0x00050000: start_addr=0x00000000F8831000, size=0x037CF000, flags=0x20
571.56942|SBEIO|psudd: Sending Req = 000000000013D601 00000000037CF000 00000000F8831000 0000000000000000 to 00050000
571.58212|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
571.58213|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
571.58215|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
571.57864|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
571.57877|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
571.58335|SBEIO|memRegion: closeAllUnsecureMemRegions: Closing Region - tgt=0x00050000: start_addr=0x00000000F8000000, size=0x00821000, flags=0x20
571.58338|SBEIO|psudd: Sending Req = 000000000014D601 0000000000821000 00000000F8000000 0000000000000000 to 00050000
571.59487|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
571.59488|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
571.59490|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
571.59081|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
571.59517|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
571.59519|SBEIO|memRegion: printIvMemRegions
571.59520|SBEIO|memRegion: Target HUID 0x00050000
571.59522|SBEIO|memRegion: <<closeAllUnsecureMemRegions: regions left = 0 among all targets, err_rc=0x0000
571.59523|ISTEPS_TRACE|calling enableCoreCheckstops() in node
571.59524|RUNTIME|>>openUntrustedSpCommArea()
571.59525|RUNTIME|>>getHostDataSection> i_section=17, i_instance=0
571.59527|RUNTIME|<<getHostDataSection> o_dataAddr=0x11800, o_dataSize=0
571.59529|RUNTIME|openUntrustedSpCommArea() SP ATTN addr = 0x0000000030012000 combined size 0x800
571.59588|SBEIO|memRegion: >>openUnsecureMemRegion: i_tgt=0x50000: i_start_addr=0x0000000030012000, i_size=0x00000800, i_isWritable=1 (flags=0x12), count=0
571.59591|SBEIO|psudd: Sending Req = 000000000015D601 0000000000000800 0000000030012000 0000000000000000 to 00050000
571.64138|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
571.64140|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
571.64142|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
571.60894|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
571.60908|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
571.64269|SBEIO|memRegion: printIvMemRegions
571.64270|SBEIO|memRegion: Target HUID 0x00050000
571.64273|SBEIO|memRegion: - 1/1: tgt=0x00050000: start_addr=0x0000000030012000, size=0x00000800, flags=0x12 (Read-Write)
571.64276|SBEIO|memRegion: <<openUnsecureMemRegion: i_tgt=0x50000: i_start_addr=0x0000000030012000: err_rc=0x0000
571.64280|SBEIO|memRegion: >>openUnsecureMemRegion: i_tgt=0x50000: i_start_addr=0x00000001FD0D0000, i_size=0x00002000, i_isWritable=0 (flags=0x11), count=1
571.64283|SBEIO|psudd: Sending Req = 000000000016D601 0000000000002000 00000000FD0D0000 0000000000000000 to 00050000
571.62260|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
571.62261|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
571.62263|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
571.62264|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
571.62701|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
571.62309|SBEIO|memRegion: printIvMemRegions
571.62310|SBEIO|memRegion: Target HUID 0x00050000
571.62313|SBEIO|memRegion: - 1/2: tgt=0x00050000: start_addr=0x00000001FD0D0000, size=0x00002000, flags=0x11 (Read-Only)
571.62316|SBEIO|memRegion: - 2/2: tgt=0x00050000: start_addr=0x0000000030012000, size=0x00000800, flags=0x12 (Read-Write)
571.62318|SBEIO|memRegion: <<openUnsecureMemRegion: i_tgt=0x50000: i_start_addr=0x00000001FD0D0000: err_rc=0x0000
571.62322|SBEIO|memRegion: >>openUnsecureMemRegion: i_tgt=0x50000: i_start_addr=0x0000000031000000, i_size=0x00100000, i_isWritable=0 (flags=0x11), count=2
571.62325|SBEIO|psudd: Sending Req = 000000000017D601 0000000000100000 0000000031000000 0000000000000000 to 00050000
571.64001|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
571.64002|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
571.64004|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
571.63682|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
571.63695|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
571.64134|SBEIO|memRegion: printIvMemRegions
571.64134|SBEIO|memRegion: Target HUID 0x00050000
571.64137|SBEIO|memRegion: - 1/3: tgt=0x00050000: start_addr=0x0000000031000000, size=0x00100000, flags=0x11 (Read-Only)
571.64140|SBEIO|memRegion: - 2/3: tgt=0x00050000: start_addr=0x00000001FD0D0000, size=0x00002000, flags=0x11 (Read-Only)
571.64143|SBEIO|memRegion: - 3/3: tgt=0x00050000: start_addr=0x0000000030012000, size=0x00000800, flags=0x12 (Read-Write)
571.64145|SBEIO|memRegion: <<openUnsecureMemRegion: i_tgt=0x50000: i_start_addr=0x0000000031000000: err_rc=0x0000
571.64147|RUNTIME|>>getHostDataSection> i_section=15, i_instance=0
571.64148|RUNTIME|<<getHostDataSection> o_dataAddr=0x2EFC, o_dataSize=96
571.64149|RUNTIME|>>getHostDataSection> i_section=15, i_instance=1
571.64150|RUNTIME|<<getHostDataSection> o_dataAddr=0x2F5C, o_dataSize=96
571.64151|RUNTIME|>>getHostDataSection> i_section=15, i_instance=2
571.64152|RUNTIME|<<getHostDataSection> o_dataAddr=0x2FBC, o_dataSize=96
571.64153|RUNTIME|>>getHostDataSection> i_section=15, i_instance=3
571.64154|RUNTIME|<<getHostDataSection> o_dataAddr=0x301C, o_dataSize=96
571.64155|RUNTIME|>>getHostDataSection> i_section=15, i_instance=4
571.64157|RUNTIME|<<getHostDataSection> o_dataAddr=0x307C, o_dataSize=96
571.64158|RUNTIME|>>getHostDataSection> i_section=15, i_instance=5
571.64159|RUNTIME|<<getHostDataSection> o_dataAddr=0x30DC, o_dataSize=96
571.64160|RUNTIME|>>getHostDataSection> i_section=15, i_instance=6
571.64161|RUNTIME|<<getHostDataSection> o_dataAddr=0x313C, o_dataSize=96
571.64162|RUNTIME|>>getHostDataSection> i_section=15, i_instance=7
571.64163|RUNTIME|<<getHostDataSection> o_dataAddr=0x319C, o_dataSize=96
571.64164|RUNTIME|>>getHostDataSection> i_section=15, i_instance=8
571.64165|RUNTIME|<<getHostDataSection> o_dataAddr=0x31FC, o_dataSize=96
571.64166|RUNTIME|>>getHostDataSection> i_section=15, i_instance=9
571.64167|RUNTIME|<<getHostDataSection> o_dataAddr=0x325C, o_dataSize=96
571.64168|RUNTIME|>>getHostDataSection> i_section=15, i_instance=10
571.64169|RUNTIME|<<getHostDataSection> o_dataAddr=0x32BC, o_dataSize=96
571.64170|RUNTIME|>>getHostDataSection> i_section=15, i_instance=11
571.64171|RUNTIME|<<getHostDataSection> o_dataAddr=0x331C, o_dataSize=96
571.64172|RUNTIME|>>getHostDataSection> i_section=15, i_instance=12
571.64173|RUNTIME|<<getHostDataSection> o_dataAddr=0x337C, o_dataSize=96
571.64174|RUNTIME|>>getHostDataSection> i_section=15, i_instance=13
571.64175|RUNTIME|<<getHostDataSection> o_dataAddr=0x33DC, o_dataSize=96
571.64177|RUNTIME|>>getHostDataSection> i_section=15, i_instance=14
571.64178|RUNTIME|<<getHostDataSection> o_dataAddr=0x343C, o_dataSize=96
571.64179|RUNTIME|>>getHostDataSection> i_section=15, i_instance=15
571.64180|RUNTIME|<<getHostDataSection> o_dataAddr=0x349C, o_dataSize=96
571.64181|RUNTIME|>>getHostDataSection> i_section=15, i_instance=16
571.64182|RUNTIME|<<getHostDataSection> o_dataAddr=0x34FC, o_dataSize=96
571.64183|RUNTIME|>>getHostDataSection> i_section=15, i_instance=17
571.64184|RUNTIME|<<getHostDataSection> o_dataAddr=0x355C, o_dataSize=96
571.64185|RUNTIME|>>getHostDataSection> i_section=15, i_instance=18
571.64186|RUNTIME|<<getHostDataSection> o_dataAddr=0x35BC, o_dataSize=96
571.64187|RUNTIME|>>getHostDataSection> i_section=15, i_instance=19
571.64188|RUNTIME|<<getHostDataSection> o_dataAddr=0x361C, o_dataSize=96
571.64189|RUNTIME|<<openUntrustedSpCommArea()
571.64190|ISTEPS_TRACE|I>Isteps disabled, send SYNC_POINT_REACHED msg
571.64191|INITSVC|>>IStepDispatcher::sendSyncPoint
571.64192|INITSVC|I>sendSyncPoint: Istep mode or no base services, returning
571.64193|INITSVC|<<IStepDispatcher::sendSyncPoint
571.64203|ISTEPS_TRACE|callShutdown finished, shutdown = 0x1230000.
571.64204|INITSVC|_setShutdownStatus(i_status=0x0000000001230000)
571.64205|INITSVC|_doShutdown(i_status=0000000001230000)
571.64207|INITSVC|_doShutdown> status=0000000001230000
571.64209|INITSVC|notify priority=0x0, queue=0x3d1158, msgType=0x40000000, componentID=0x1500
572.77415|INITSVC|notify priority=0x10, queue=0x3d1448, msgType=0x33, componentID=0x100
572.77417|ERRL|I>Got an error log Msg - Type: 0x00000033
572.77418|ERRL|I>Shutdown event received
572.77420|INITSVC|notify priority=0x11, queue=0x1dcf68, msgType=0x2, componentID=0x2500
572.77422|IPMI|sel: I>ipmisel shutdown message from initservice
572.77424|INITSVC|notify priority=0x12, queue=0x3def68, msgType=0x4, componentID=0x2500
572.77425|IPMI|rp: I>reply to the MSG_STATE_SHUTDOWN message
572.77427|INITSVC|notify priority=0x13, queue=0x3d7668, msgType=0x5, componentID=0xf00
572.77428|INTR|Shutdown event received
572.77429|INTR|IntrRp::shutDown - Sending shutdown message to registered handlers
572.77430|SBEIO|psudd: SbePsu::msgHandler Handle Shutdown
572.77432|MBOX|I>Shutdown Message sent for IPC, ignoring.
572.77437|INTR|Reset PSIHB Interrupt Space
572.77438|INTR|Reset PSIHB INTR Complete
572.77443|INTR|INTR: Target 00050000. PSI BRIDGE ESB BASE BAR value: 0x00060302031c0000
572.77446|INTR|I>INTR is shutdown
572.77447|INITSVC|notify priority=0x14, queue=0x658a88, msgType=0x1, componentID=0x1700
