392.44326|ISTEP  6.12 - host_voltage_config
392.44764|IPMI|wd: resetWatchDogTimer
392.44765|IPMI|rp: queuing sync 18:22
392.44767|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
392.44771|IPMI|dd: I>write ok 18:22 seq c6 len 0
392.45851|IPMI|dd: I>read b2h ok 1c:22 seq c6 len 0 cc 0
392.47422|UTIL|getBootNestFreq::The boot frequency was 1866: Bucket Id = 2
392.47425|ISTEPS_TRACE|call_host_voltage_config.C::ASYNC Freq specified by MRW, using 1866 Mhz
392.51531|ISTEPS_TRACE|call_host_voltage_config.C::ATTR_FREQ_X_MHZ = 2000
392.61189|ISTEPS_TRACE|Proc 00050000 Freq from #V: Powersave = 1867 Turbo = 3200, UltraTurbo = 3800
392.61198|ISTEPS_TRACE|Proc 00050000 Freq from #V: Powersave = 1867 Turbo = 3200, UltraTurbo = 3800
392.61204|ISTEPS_TRACE|Setting System Frequency Attributes: Nominal = 2700, Floor = 1867, Ceiling = 3200, Turbo = 3200, UltraTurbo = 3800
392.61206|TARG|[TARG] >> TARGETING::Target::setFrequencyAttributes 
392.61207|TARG|ATTR_FREQ_PB_MHZ getting set from 1866 to 1866
392.61208|TARG|ATTR_PIB_I2C_NEST_PLL getting set from 26 to 26
392.61210|TARG|Bucket 1 with freq 1600 and i2cdiv 25
392.61211|TARG|Bucket 2 with freq 1866 and i2cdiv 29
392.61212|TARG|ATTR_NEST_PLL_BUCKET getting set to 2
392.61286|TARG|[TARG] << TARGETING::Target::setFrequencyAttributes 
392.63003|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_DPLL_DIVIDER - 8
392.63124|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_ULTRATURBO                                    = 0x00000000 0
392.63128|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_TURBO                                         = 0x00000000 0
392.63132|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_NOMINAL                                       = 0x00000000 0
392.63136|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_POWERSAVE                                     = 0x00000000 0
392.63141|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_ULTRATURBO                         = 0x00000000 0
392.63145|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_TURBO                              = 0x00000000 0
392.63149|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_NOMINAL                            = 0x00000000 0
392.63153|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_POWERSAVE                          = 0x00000000 0
392.63158|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VCS_BIAS                                    = 0x00000000 0
392.63162|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDN_BIAS                                    = 0x00000000 0
392.63166|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_ULTRATURBO                         = 0x00000000 0
392.63170|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_TURBO                              = 0x00000000 0
392.63174|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_NOMINAL                            = 0x00000000 0
392.63178|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_POWERSAVE                          = 0x00000000 0
392.63183|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_DPLL_REFCLOCK_KHZ                                  = 0x000208d5 133333
392.63188|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_PB_MHZ                                             = 0x0000074a 1866
392.63192|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_CORE_CEILING_MHZ                                   = 0x00000c80 3200
392.63196|FAPI|p9_pstate_parameter_block.C: ATTR_SAFE_MODE_FREQUENCY_MHZ                                 = 0x00000000 0
392.63200|FAPI|p9_pstate_parameter_block.C: ATTR_SAFE_MODE_VOLTAGE_MV                                    = 0x00000000 0
