  7.34153|ISTEP  6. 7 - host_discover_targets
  7.35945|ISTEPS_TRACE|host_discover_targets: Normal IPL mode
  7.42447|VPD|>>getPnAndSnRecordAndKeywords()
  7.65921|VPD|VPD::ensureCacheIsInSync: PNOR_PN/SN == SEEPROM_PN/SN for target 00020000
  7.65923|VPD|>>getPnAndSnRecordAndKeywords()
  7.66044|HWAS_I|I>hwasPlat.C: pTarget 00020000 - detected present
  7.67833|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E5000)> 
  7.84295|HWAS_I|I>hwasPlat.C: pTarget 00030000 - no presence
  7.84419|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E5000)> 
  8.00365|HWAS_I|I>hwasPlat.C: pTarget 00030001 - no presence
  8.00402|VPD|>>getPnAndSnRecordAndKeywords()
  8.02203|VPD|VPD::ensureCacheIsInSync: PNOR_PN/SN == SEEPROM_PN/SN for target 00030002
  8.02205|HWAS_I|I>hwasPlat.C: pTarget 00030002 - detected present
  8.02217|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E5000)> 
  8.19047|HWAS_I|I>hwasPlat.C: pTarget 00030003 - no presence
  8.19174|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E5000)> 
  8.35512|HWAS_I|I>hwasPlat.C: pTarget 00030008 - no presence
  8.35637|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E5000)> 
  8.52484|HWAS_I|I>hwasPlat.C: pTarget 00030009 - no presence
  8.52610|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E5000)> 
  8.68447|HWAS_I|I>hwasPlat.C: pTarget 0003000A - no presence
  8.68571|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E5000)> 
  8.84508|HWAS_I|I>hwasPlat.C: pTarget 0003000B - no presence
  8.84525|SPD|E>dimmPresenceDetect() isSlavePresent failed
  8.84646|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E6200)> 
  9.00762|HWAS_I|I>hwasPlat.C: pTarget 00030010 - no presence
  9.00778|SPD|E>dimmPresenceDetect() isSlavePresent failed
  9.00898|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E6200)> 
  9.17653|HWAS_I|I>hwasPlat.C: pTarget 00030011 - no presence
  9.17669|SPD|E>dimmPresenceDetect() isSlavePresent failed
  9.17787|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E6200)> 
  9.34047|HWAS_I|I>hwasPlat.C: pTarget 00030012 - no presence
  9.34065|SPD|E>dimmPresenceDetect() isSlavePresent failed
  9.34182|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E6200)> 
  9.50320|HWAS_I|I>hwasPlat.C: pTarget 00030013 - no presence
  9.50337|SPD|E>dimmPresenceDetect() isSlavePresent failed
  9.50455|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E6200)> 
  9.66520|HWAS_I|I>hwasPlat.C: pTarget 00030018 - no presence
  9.66536|SPD|E>dimmPresenceDetect() isSlavePresent failed
  9.66656|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E6200)> 
  9.82708|HWAS_I|I>hwasPlat.C: pTarget 00030019 - no presence
  9.82724|SPD|E>dimmPresenceDetect() isSlavePresent failed
  9.82843|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E6200)> 
