 12.06290|ISTEP  6. 9 - host_gard
 12.06817|IPMI|wd: resetWatchDogTimer
 12.06819|IPMI|rp: queuing sync 18:22
 12.06820|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
 12.13816|IPMI|dd: I>read b2h ok 2c:12 seq 50 len 1 cc 0
 12.13818|IPMI|fru: I>sending write_fru_data fru size 56 offset 56
 12.13825|IPMI|dd: I>write ok 18:22 seq 51 len 0
 12.13828|IPMI|rp: queuing sync 28:12
 12.13830|IPMI|rp: W>Got message (0x28:0x12): l_is_pnor: 0
 12.15787|IPMI|dd: I>read b2h ok 1c:22 seq 51 len 0 cc 0
 12.15823|IPMI|dd: I>write ok 28:12 seq 52 len 3b
 12.24968|IPMI|dd: I>read b2h ok 2c:12 seq 52 len 1 cc 0
 12.24970|IPMI|fru: I>sending write_fru_data fru size 16 offset 112
 12.24983|IPMI|rp: queuing sync 28:12
 12.24984|IPMI|rp: W>Got message (0x28:0x12): l_is_pnor: 0
 12.26472|ISTEPS_TRACE|I>host_gard: invoke PRD to check for previous CS
 12.26473|ATTN_SLOW|I>Checking for checkstop attentions
 12.26486|IPMI|dd: I>write ok 28:12 seq 54 len 13
 12.34152|IPMI|dd: I>read b2h ok 2c:12 seq 54 len 1 cc 0
 12.34165|IPMI|fru: >>sendWriteFruData for dev 0x6, size 96
 12.34166|IPMI|fru: I>sending write_fru_data fru size 56 offset 0
 12.34168|IPMI|rp: queuing sync 28:12
 12.34169|IPMI|rp: W>Got message (0x28:0x12): l_is_pnor: 0
 12.35682|IPMI|dd: I>write ok 28:12 seq 56 len 3b
 12.39423|IPMI|dd: I>read b2h ok 2c:12 seq 56 len 1 cc 0
 12.39425|IPMI|fru: I>sending write_fru_data fru size 40 offset 56
 12.39428|IPMI|rp: queuing sync 28:12
 12.39437|IPMI|rp: W>Got message (0x28:0x12): l_is_pnor: 0
 12.40724|ATTN_SLOW|I>No PNOR data found, nothing to analyze.
 12.40725|ATTN_SLOW|I>checkForCSAttentions complete
 12.40751|IPMI|dd: I>write ok 28:12 seq 58 len 2b
 12.45049|IPMI|dd: I>read b2h ok 2c:12 seq 58 len 1 cc 0
