394.38892|ISTEP  7. 1 - mss_attr_cleanup
394.39878|IPMI|wd: resetWatchDogTimer
394.39880|IPMI|rp: queuing sync 18:22
394.39881|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
394.39887|IPMI|dd: I>write ok 18:22 seq d8 len 0
394.41325|IPMI|dd: I>read b2h ok 1c:22 seq d8 len 0 cc 0
394.42361|INITSVC|unloading [libistep06.so]
394.42388|INITSVC|unloading [libsbe.so]
394.44973|INITSVC|unloading [libpm.so]
394.45721|INITSVC|unloading [libnestmemutils.so]
394.46875|INITSVC|unloading [libimageprocs.so]
394.48144|INITSVC|unloading [libp9_cpuWkup.so]
394.49098|INITSVC|unloading [libisteps_nest.so]
394.51252|INITSVC|loading [libistep07.so]
394.68108|INITSVC|loading [libnestmemutils.so]
394.68842|INITSVC|loading [libisteps_mss.so]
395.46609|INITSVC|loading [libsbe.so]
395.47656|INITSVC|loading [libimageprocs.so]
395.47796|INITSVC|loading [libcen.so]
395.48152|INITSVC|loading [libnvram.so]
395.50068|ISTEPS_TRACE|host_mss_attr_cleanup entry
395.50140|ISTEPS_TRACE|Running p9c_mss_attr_cleanup HWP on DIMM target HUID 00030002
395.51804|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Start
395.54029|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Get SPD Data size 0x200 
395.54148|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Get SPD Data byte 0 0x23 
395.54150|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02: ATTR_CEN_SPD_REVISION 0x12 
395.55184|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_DRAM_DEVICE_TYPE 0x0C 
395.55301|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_MODULE_TYPE 0x01 
395.55304|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_CUSTOM 0x00 
395.55307|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_SDRAM_DENSITY 0x05 
395.55310|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_SDRAM_BANKS 0x00 
395.55313|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_SDRAM_COLUMNS 0x01 
395.55316|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_SDRAM_ROWS 0x04 
395.55319|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_SDRAM_DEVICE_TYPE 0x00 
395.55322|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_SDRAM_DIE_COUNT 0x00 
395.55326|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_SDRAM_DEVICE_TYPE_SIGNAL_LOADING 0x00 
395.55330|FAPI|p9c_mss_attr_cleanup.C: dimm:k0:n0:s0:p02 Set ATTR_CEN_SPD_SDRAM_OPTIONAL_FEATURES 0x08 
