396.44350|ISTEP  7. 4 - mss_eff_config
396.44756|IPMI|wd: resetWatchDogTimer
396.44757|IPMI|rp: queuing sync 18:22
396.44759|IPMI|rp: W>Got message (0x18:0x22): l_is_pnor: 0
396.44763|IPMI|dd: I>write ok 18:22 seq 7d len 0
396.45881|IPMI|dd: I>read b2h ok 1c:22 seq 7d len 0 cc 0
396.46621|ISTEPS_TRACE|call_mss_eff_config entry
396.46695|ISTEPS_TRACE|p9_mss_eff_config HWP. MCS HUID 000B0000
396.47129|FAPI|spd_factory_pattern.C: Highest valid rev 0x11, Highest valid encoding level 1, encoding level received 1 for dimm:k0:n0:s0:p02
396.47177|FAPI|spd_factory_pattern.C: Highest valid rev 0x11, Highest valid encoding level 1, encoding level received 1 for dimm:k0:n0:s0:p02
396.51122|FAPI|eff_dimm.C: pu.mcs:k0:n0:s0:p00:c0. VPD info - dimm data rate: 2666 MT/s
396.51130|FAPI|nimbus_mss_freq.C: pu.mca:k0:n0:s0:p00:c1. VPD info - rank count for dimm_0: 1, dimm_1: 0
396.51251|FAPI|eff_dimm.C: pu.mcs:k0:n0:s0:p00:c0. VPD info - rank count for dimm_0: 1, dimm_1: 0
396.57189|FAPI|spd_factory.C: Retrieved dimm_type: 1, raw card reference: 0x23 from SPD for dimm:k0:n0:s0:p02
396.57192|FAPI|spd_factory.C: Unsupported raw cards are allowed for dimm:k0:n0:s0:p02
396.61108|FAPI|eff_dimm.H: Calculated clock period - tCK (ps): 750 for dimm:k0:n0:s0:p02 RDIMM (DDR4)
396.61111|FAPI|eff_dimm.H: Calculated frequency (ps): 2666 for dimm:k0:n0:s0:p02 RDIMM (DDR4)
396.63715|FAPI|p9_mss_eff_config.C: Setting up ODIC and ODT attributes on dimm:k0:n0:s0:p02 RDIMM (DDR4)
396.67717|FAPI|spd_factory.C: Retrieved dimm_type: 1, raw card reference: 0x23 from SPD for dimm:k0:n0:s0:p02
396.67721|FAPI|spd_factory.C: Unsupported raw cards are allowed for dimm:k0:n0:s0:p02
