399.17627|ISTEP  8.12 - host_set_voltages
399.18056|ISTEPS_TRACE|>>call_host_set_voltages enter
399.18126|ISTEPS_TRACE|Running p9_setup_evid HWP on processor target 00050000
399.18716|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_DPLL_DIVIDER - 8
399.18837|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_ULTRATURBO                                    = 0x00000000 0
399.18841|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_TURBO                                         = 0x00000000 0
399.18845|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_NOMINAL                                       = 0x00000000 0
399.18850|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_POWERSAVE                                     = 0x00000000 0
399.18854|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_ULTRATURBO                         = 0x00000000 0
399.18858|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_TURBO                              = 0x00000000 0
399.18862|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_NOMINAL                            = 0x00000000 0
399.18866|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_POWERSAVE                          = 0x00000000 0
399.18870|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VCS_BIAS                                    = 0x00000000 0
399.18874|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDN_BIAS                                    = 0x00000000 0
399.18878|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_ULTRATURBO                         = 0x00000000 0
399.18883|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_TURBO                              = 0x00000000 0
399.18887|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_NOMINAL                            = 0x00000000 0
399.18891|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_POWERSAVE                          = 0x00000000 0
399.18895|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_DPLL_REFCLOCK_KHZ                                  = 0x000208d5 133333
399.18900|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_PB_MHZ                                             = 0x0000074a 1866
399.18904|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_CORE_CEILING_MHZ                                   = 0x00000c80 3200
399.18908|FAPI|p9_pstate_parameter_block.C: ATTR_SAFE_MODE_FREQUENCY_MHZ                                 = 0x00000868 2152
399.19030|FAPI|p9_pstate_parameter_block.C: ATTR_SAFE_MODE_VOLTAGE_MV                                    = 0x0000029b 667
399.19035|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_CORE_FLOOR_MHZ                                     = 0x0000074b 1867
399.19039|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VDD_UOHM                                = 0x000000fe 254
399.19043|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VDD_UOHM                                = 0x00000000 0
399.19047|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VDD_UV                                 = 0x00000000 0
399.19052|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VDN_UOHM                                = 0x00000000 0
399.19056|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VDN_UOHM                                = 0x00000032 50
399.19060|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VDN_UV                                 = 0x00000000 0
399.19064|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VCS_UOHM                                = 0x00000000 0
399.19068|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VCS_UOHM                                = 0x00000040 64
399.19073|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VCS_UV                                 = 0x00000000 0
399.19077|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_IVRM_DISABLE                                     = 0x00000000 0
399.19081|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_WOF_DISABLE                                      = 0x00000000 0
399.19085|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_VDM_DISABLE                                      = 0x00000000 0
399.19089|FAPI|p9_pstate_parameter_block.C: ATTR_DPLL_VDM_RESPONSE                                       = 0x00000000 0
399.19093|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_RESCLK_DISABLE                                   = 0x00000000 0
399.19097|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_PSTATES_MODE                                     = 0x00000000 0
399.19220|FAPI|p9_pstate_parameter_block.C: ATTR_CHIP_EC_FEATURE_WOF_NOT_SUPPORTED                       = 0x00000000 0
399.19224|FAPI|p9_pstate_parameter_block.C: ATTR_CHIP_EC_FEATURE_VDM_NOT_SUPPORTED                       = 0x00000000 0
399.19228|FAPI|p9_pstate_parameter_block.C: ATTR_TDP_RDP_CURRENT_FACTOR                                  = 0x00000000 0
399.19232|FAPI|p9_pstate_parameter_block.C: ATTR_EXTERNAL_VRM_TRANSITION_START_NS                        = 0x00000000 0
399.19351|FAPI|p9_pstate_parameter_block.C: ATTR_EXTERNAL_VRM_TRANSITION_RATE_INC_UV_PER_US              = 0x00000000 0
399.19356|FAPI|p9_pstate_parameter_block.C: ATTR_EXTERNAL_VRM_TRANSITION_RATE_DEC_UV_PER_US              = 0x00000000 0
399.19360|FAPI|p9_pstate_parameter_block.C: ATTR_EXTERNAL_VRM_TRANSITION_STABILIZATION_TIME_NS           = 0x00000000 0
399.19364|FAPI|p9_pstate_parameter_block.C: ATTR_EXTERNAL_VRM_STEPSIZE                                   = 0x00000000 0
399.19368|FAPI|p9_pstate_parameter_block.C: ATTR_NEST_LEAKAGE_PERCENT                                    = 0x0000003c 60
399.19373|FAPI|p9_pstate_parameter_block.C: ATTR_VDD_AVSBUS_BUSNUM                                       = 0x00000000 0
399.19377|FAPI|p9_pstate_parameter_block.C: ATTR_VDD_AVSBUS_RAIL                                         = 0x00000000 0
399.19381|FAPI|p9_pstate_parameter_block.C: ATTR_VDN_AVSBUS_BUSNUM                                       = 0x00000001 1
399.19386|FAPI|p9_pstate_parameter_block.C: ATTR_VDN_AVSBUS_RAIL                                         = 0x00000000 0
399.19390|FAPI|p9_pstate_parameter_block.C: ATTR_VCS_AVSBUS_BUSNUM                                       = 0x00000000 0
399.19395|FAPI|p9_pstate_parameter_block.C: ATTR_VCS_AVSBUS_RAIL                                         = 0x00000001 1
399.19399|FAPI|p9_pstate_parameter_block.C: ATTR_VCS_BOOT_VOLTAGE                                        = 0x000003bd 957
399.19519|FAPI|p9_pstate_parameter_block.C: ATTR_VDD_BOOT_VOLTAGE                                        = 0x0000029b 667
399.19523|FAPI|p9_pstate_parameter_block.C: ATTR_VDN_BOOT_VOLTAGE                                        = 0x000002be 702
399.19528|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VDD_UOHM                                = 0x000000fe 254
399.19532|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VDD_UOHM                                = 0x00000000 0
399.19536|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VDD_UV                                 = 0x00000000 0
399.19540|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VDN_UOHM                                = 0x00000000 0
399.19544|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VDN_UOHM                                = 0x00000032 50
399.19548|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VDN_UV                                 = 0x00000000 0
399.19552|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VCS_UOHM                                = 0x00000000 0
399.19670|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VCS_UOHM                                = 0x00000040 64
399.19674|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VCS_UV                                 = 0x00000000 0
399.19679|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_DPLL_REFCLOCK_KHZ                                  = 0x000208d5 133333
399.19683|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_DPLL_DIVIDER                                       = 0x00000008 8
399.19687|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_WOV_OVERV_DISABLE                                = 0x00000000 0
399.19691|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_WOV_UNDERV_DISABLE                               = 0x00000000 0
399.19695|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_UNDERV_FORCE                                        = 0x00000000 0
399.19699|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_SAMPLE_125US                                        = 0x00000000 0
399.19705|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_MAX_DROOP_10THPCT                                   = 0x00000000 0
399.19709|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_UNDERV_PERF_LOSS_THRESH_10THPCT                     = 0x00000000 0
399.19713|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_UNDERV_STEP_INCR_10THPCT                            = 0x00000000 0
