400.59710|ISTEP  9. 3 - fabric_pre_trainadv
400.60875|ISTEPS_TRACE|>>call_fabric_pre_trainadv entry
400.60955|TARG|PbusLinkSvc::collectPbusConnections - getAllChiplets(14 type) returned 1 entries
400.60956|TARG|Get other endpoint target for target HUID 000E0001
400.60958|TARG|Other endpoint target HUID 000E0004
400.61417|ISTEPS_TRACE|Connection bus list is empty. HWP call p9_io_xbus_pre_trainadv will not be called.
400.61494|TARG|PbusLinkSvc::collectPbusConnections - getAllChiplets(40 type) returned 0 entries
400.61649|ISTEPS_TRACE|<<call_fabric_pre_trainadv exit
400.62575|ERRL|I>Got an error log Msg - Type: 0x00000039
400.62576|ERRL|I>Flush message received
400.62578|INITSVC|<<doIstep: step 9, substep 3
400.62581|INITSVC|>>doIstep: step 9, substep 4, task fabric_io_run_training
