400.91127|ISTEP  9. 7 - proc_fab_iovalid
400.91586|ISTEPS_TRACE|call_proc_fab_iovalid entry
401.07632|TARG|getMasterCore: found 4 cores on master proc,l_masterCore PIR:0x4
401.07633|TARG|found master core: 0x1, PIR=0x4 :
401.08101|TARG|EntityPath
~[0x0000] 50687973 6963616c 3a2f5379 73302f4e    *Physical:/Sys0/N*
~[0x0010] 6f646530 2f50726f 63302f45 51302f45    *ode0/Proc0/EQ0/E*
~[0x0020] 58302f43 6f726531                      *X0/Core1        *
401.13605|FAPI_I|p9_pm_ocb_indir_setup_linear.C: p9_pm_ocb_indir_setup_linear Enter
401.13606|FAPI|p9_pm_ocb_init.C: p9_pm_ocb_init Enter
401.13608|FAPI|p9_pm_ocb_init.C: *** Setup OCB Indirect Channel 0 
401.13609|FAPI|p9_pm_ocb_init.C: pm_ocb_setup Enter
401.15033|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D013 0800000000000000
401.15036|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D012 0400000000000000
401.15040|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D010 FFFBD00000000000
401.15042|FAPI|p9_pm_ocb_init.C: -----------------------------------------------------
401.15044|FAPI|p9_pm_ocb_init.C: OCB Channel Configuration                            
401.15047|FAPI|p9_pm_ocb_init.C: -----------------------------------------------------
401.15048|FAPI|p9_pm_ocb_init.C:   channel number             => 0 
401.15049|FAPI|p9_pm_ocb_init.C:   channel type               => 2 
401.15051|FAPI|p9_pm_ocb_init.C:   channel base address       => 0xFFFBD000 
401.15053|FAPI|p9_pm_ocb_init.C: -----------------------------------------------------
401.15054|FAPI|p9_pm_ocb_init.C: p9_pm_ocb_init EXIT
401.15057|FAPI|p9_pm_ocb_indir_setup_linear.C: Linear setup of channel 0 successful.
401.17280|FAPI_I|p9_pm_ocb_indir_setup_linear.C: p9_pm_ocb_indir_setup_linear Exit
401.17284|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D010 FFFBD00000000000
401.17286|FAPI|p9_pm_ocb_indir_access.C: OCB access for data write operation
401.19724|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006D011 0800000000000000
401.19727|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 4649523201008000
401.19730|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0394100000002000
401.19733|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 FC00000000000000
401.19736|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 031E8D0000000105
401.19739|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000202000003
401.19743|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0406000000020200
401.19746|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000030100000201
401.19749|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0300000004090000
401.19752|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 03021D0000000000
401.19755|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
401.19758|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
401.19761|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
401.19767|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
401.19770|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0003240000000000
401.19773|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
401.19776|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0008C000A0400000
401.19779|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 C3C00000BFE00000
401.19782|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 500F001C500F001B
401.19785|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 500400180104000A
401.19789|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 010108000204000A
401.19792|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0201108002011100
401.19795|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0304000A03011000
401.19798|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0301140003011800
401.19801|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0404000A04011800
401.19804|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0504000A05011800
401.19807|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 05011C0005012000
401.19810|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501240005012840
401.19814|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501290005012940
401.19817|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 050129C005012C00
401.19821|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 05012C4005013030
401.19824|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501340005013800
401.19827|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 05013C0005013C40
401.19830|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 05013C800604000A
401.19833|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 06010840500F001A
401.19837|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0104000001040001
401.19840|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0104000202040000
401.19843|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0204000102040002
401.19846|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0204001802040019
401.19849|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0304000003040001
401.19852|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0304000203040018
401.19855|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0304001904040000
401.19858|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0404000104040002
401.19861|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0404001804040019
401.19865|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501101805011019
401.19868|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501104805011049
401.19871|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501107805011079
401.19874|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 050110A8050110A9
401.19877|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 050110DB050110FA
401.19880|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 050110FD050110FE
401.19883|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501121805011219
401.19886|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501124805011249
401.19890|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501127805011279
401.19893|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 050112A8050112A9
401.19896|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 050112DB050112FA
